# ID      zz        CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2  
  533     1.036     24.968   0.053     24.842    0.021      24.732      0.063        24.624      0.04         24.144      0.062        24.025      0.044        23.761       0.043         98.992       -99.0         23.721       0.042         23.582       0.031         23.499       0.036         23.605     0.111       98.997     -99.0       23.235     0.069       23.604     0.064       23.992     0.481       99.0       -99.0       0      0.0   
  570     1.0907    24.597   0.033     24.518    0.016      24.503      0.044        24.373      0.021        24.032      0.032        23.997      0.031        23.871       0.03          98.992       -99.0         23.701       0.031         23.696       0.022         23.667       0.027         23.723     0.091       98.997     -99.0       23.179     0.065       23.529     0.065       23.384     0.269       23.858     0.412       0      0.0   
  601     1.025     24.612   0.036     24.536    0.02       24.529      0.047        24.441      0.023        23.877      0.031        23.708      0.027        23.467       0.023         98.992       -99.0         23.38        0.027         23.282       0.014         23.297       0.02          23.096     0.056       98.997     -99.0       22.764     0.041       23.066     0.041       23.939     0.393       23.92      0.393       0      0.0   
  744     1.0363    23.994   0.022     23.923    0.013      23.823      0.026        23.412      0.008        22.789      0.007        22.594      0.015        22.298       0.008         98.992       -99.0         22.138       0.013         21.921       0.008         21.79        0.009         21.582     0.017       98.997     -99.0       21.144     0.009       21.406     0.009       21.647     0.051       21.808     0.06        0      0.0   
  797     1.017     25.826   0.112     25.788    0.041      25.481      0.121        24.586      0.033        23.52       0.03         23.28       0.027        22.824       0.017         98.992       -99.0         22.478       0.018         22.062       0.007         21.737       0.006         21.188     0.011       98.997     -99.0       20.584     0.005       20.843     0.005       21.152     0.032       21.233     0.035       0      0.03  
  931     1.08966   25.909   0.11      25.799    0.045      25.697      0.108        25.245      0.037        24.482      0.047        24.309      0.04         23.847       0.027         98.992       -99.0         23.656       0.033         23.426       0.017         23.285       0.02          23.002     0.059       98.997     -99.0       22.537     0.032       22.864     0.034       23.316     0.223       23.899     0.39        0      0.01  
  952     1.032     25.065   0.054     25.014    0.027      25.022      0.065        24.792      0.031        24.269      0.043        24.171      0.039        23.898       0.031         98.992       -99.0         23.879       0.042         23.712       0.027         23.593       0.032         23.475     0.077       98.997     -99.0       23.048     0.052       23.353     0.055       23.427     0.251       23.176     0.203       0      0.0   
  994     1.034     24.33    0.029     24.316    0.016      24.131      0.059        23.653      0.016        22.981      0.021        22.816      0.018        22.528       0.014         98.992       -99.0         22.386       0.018         22.185       0.01          22.042       0.012         21.93      0.025       98.997     -99.0       21.331     0.015       21.453     0.011       21.477     0.044       21.386     0.041       0      0.0   
  1025    1.089     25.631   0.085     25.641    0.04       25.743      0.098        25.101      0.035        24.335      0.044        24.195      0.035        23.737       0.026         98.992       -99.0         23.515       0.025         23.293       0.016         23.056       0.016         22.69      0.028       98.997     -99.0       22.297     0.025       22.528     0.025       22.986     0.16        22.87      0.146       0      0.01  
  1205    1.015     25.181   0.06      25.255    0.03       25.141      0.06         24.905      0.025        24.432      0.026        24.364      0.062        24.125       0.027         98.992       -99.0         24.04        0.044         23.886       0.031         23.94        0.041         23.995     0.173       98.997     -99.0       23.565     0.087       23.831     0.113       23.999     0.461       24.325     0.616       0      0.0   
  1256    1.09      25.213   0.068     25.165    0.03       24.646      0.089        23.474      0.015        22.161      0.012        21.78       0.012        21.189       0.006         98.992       -99.0         20.816       0.006         20.455       0.003         20.12        0.003         19.704     0.003       98.997     -99.0       19.019     0.001       19.217     0.001       19.627     0.008       19.898     0.01        0      0.03  
  1603    1.04316   24.29    0.026     24.261    0.015      24.154      0.037        24.027      0.019        23.551      0.028        23.559      0.045        23.368       0.013         98.992       -99.0         98.993       -99.0         23.163       0.016         23.24        0.021         98.997     -99.0       98.997     -99.0       22.678     0.038       23.019     0.059       23.041     0.197       23.292     0.244       0      0.0   
  1609    1.029     25.367   0.066     25.466    0.034      24.878      0.055        24.691      0.025        24.216      0.028        24.099      0.078        23.865       0.026         98.992       -99.0         23.711       0.029         23.642       0.029         23.578       0.035         23.625     0.134       98.997     -99.0       98.999     -99.0       23.549     0.101       99.0       -99.0       25.349     1.575       0      0.0   
  1695    1.0446    24.973   0.062     25.024    0.027      24.678      0.052        24.489      0.023        23.975      0.032        23.962      0.055        23.713       0.015         98.992       -99.0         23.534       0.026         23.473       0.018         23.498       0.023         98.997     -99.0       98.997     -99.0       98.999     -99.0       23.617     0.149       23.264     0.355       23.546     0.463       0      0.0   
  1772    1.021     98.967   -99.0     98.967    -99.0      98.971      -99.0        27.126      0.169        25.53       0.089        25.327      0.065        24.796       0.051         98.992       -99.0         24.392       0.044         24.234       0.05          23.821       0.039         23.346     0.056       98.997     -99.0       22.007     0.019       22.449     0.021       23.296     0.223       23.099     0.187       0      0.19  
  1826    1.065     25.094   0.054     25.075    0.025      24.852      0.071        24.852      0.035        24.391      0.057        24.338      0.055        24.053       0.04          98.992       -99.0         24.021       0.055         23.901       0.04          23.847       0.05          24.153     0.174       98.997     -99.0       22.972     0.048       23.277     0.045       22.359     0.092       22.493     0.105       0      0.01  
  1848    1.088     24.205   0.028     24.127    0.014      24.104      0.04         23.439      0.01         22.671      0.011        22.525      0.016        22.046       0.009         98.992       -99.0         21.842       0.011         21.502       0.006         21.248       0.006         20.677     0.008       98.997     -99.0       20.036     0.003       20.21      0.003       20.523     0.019       20.421     0.018       0      0.0   
  1851    1.045     25.633   0.084     25.63     0.038      25.291      0.106        24.035      0.018        22.757      0.015        22.462      0.014        21.826       0.008         98.992       -99.0         21.402       0.008         21.108       0.004         20.74        0.004         20.311     0.004       98.997     -99.0       19.779     0.003       20.09      0.003       20.494     0.016       20.902     0.024       0      0.03  
  1862    1.001     25.324   0.069     25.217    0.026      25.089      0.057        24.387      0.02         23.394      0.02         23.258      0.02         22.861       0.014         98.992       -99.0         22.614       0.017         22.352       0.01          22.157       0.011         21.761     0.018       98.997     -99.0       21.177     0.01        21.47      0.008       21.699     0.053       21.751     0.057       0      0.0   
  1872    1.089     25.871   0.109     26.023    0.045      25.823      0.096        25.384      0.031        24.487      0.025        24.252      0.04         23.799       0.02          98.992       -99.0         23.474       0.024         23.279       0.013         23.026       0.013         22.726     0.03        98.997     -99.0       22.245     0.023       22.475     0.024       22.845     0.142       23.197     0.198       0      0.02  
  1886    1.04726   25.716   0.1       25.551    0.04       25.523      0.109        24.842      0.032        23.955      0.038        23.735      0.031        23.348       0.022         98.992       -99.0         23.093       0.024         22.792       0.014         22.505       0.014         22.136     0.028       98.997     -99.0       21.42      0.014       21.666     0.013       21.834     0.066       22.101     0.084       0      0.0   
  1918    1.012     24.395   0.036     24.378    0.018      24.178      0.044        23.876      0.016        23.329      0.017        23.144      0.023        22.76        0.015         98.992       -99.0         22.277       0.018         22.015       0.008         21.62        0.007         21.267     0.013       98.997     -99.0       20.648     0.005       20.612     0.004       20.891     0.024       21.158     0.031       0      0.0   
  2013    1.002     24.896   0.058     24.74     0.024      24.856      0.072        24.248      0.022        23.472      0.026        23.34       0.022        22.988       0.017         98.992       -99.0         22.868       0.021         22.556       0.012         22.376       0.011         21.981     0.021       98.997     -99.0       21.473     0.018       21.788     0.019       22.261     0.116       22.145     0.107       0      0.0   
  2046    1.001     23.861   0.02      23.819    0.013      23.725      0.038        23.321      0.013        22.604      0.018        22.5        0.016        22.187       0.012         98.992       -99.0         22.046       0.014         21.857       0.009         21.723       0.011         21.629     0.024       98.997     -99.0       21.164     0.01        21.519     0.011       21.924     0.068       21.949     0.07        0      0.0   
