# ID      zz        CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2  
  3871    1.08      24.679   0.043     24.566    0.018      24.611      0.062        24.49       0.03         24.167      0.05         24.1        0.037        23.867       0.037         98.992       -99.0         23.792       0.028         23.771       0.022         23.742       0.026         23.593     0.108       23.764     0.04        23.533     0.068       23.853     0.085       24.414     0.668       23.767     0.37        0      0.0   
  4056    1.071     25.483   0.103     25.215    0.033      24.912      0.084        24.867      0.044        24.508      0.074        24.388      0.057        24.094       0.05          98.992       -99.0         98.993       -99.0         23.905       0.039         23.621       0.038         24.193     0.166       24.026     0.053       23.887     0.202       24.063     0.211       23.454     0.446       23.773     0.633       0      0.04  
  4062    1.088     27.638   0.661     28.128    0.346      26.875      0.573        24.903      0.069        23.474      0.038        23.122      0.024        22.452       0.018         98.992       -99.0         21.937       0.008         21.546       0.004         21.138       0.004         20.55      0.006       20.592     0.002       20.033     0.003       20.247     0.003       20.761     0.021       21.159     0.031       0      0.03  
  4171    1.032     23.904   0.023     23.853    0.012      23.839      0.044        23.202      0.008        22.489      0.006        22.23       0.026        21.867       0.004         98.992       -99.0         98.993       -99.0         21.281       0.006         20.995       0.006         98.997     -99.0       98.997     -99.0       19.894     0.002       20.107     0.004       20.397     0.029       20.445     0.03        0      0.0   
  4187    1.0958    23.449   0.012     23.432    0.009      23.345      0.028        23.07       0.009        22.63       0.016        22.535      0.014        22.273       0.013         98.992       -99.0         22.202       0.016         22.104       0.007         22.012       0.008         21.839     0.022       98.997     -99.0       21.605     0.015       21.882     0.016       22.247     0.09        22.355     0.1         0      0.0   
  4216    1.098     24.146   0.029     24.036    0.015      23.718      0.05         22.895      0.016        21.891      0.014        21.672      0.01         21.12        0.009         98.992       -99.0         20.778       0.004         20.433       0.002         20.103       0.002         19.542     0.004       19.571     0.001       19.006     0.001       19.201     0.001       19.651     0.009       19.809     0.01        0      0.03  
  4348    1.072     25.836   0.123     25.593    0.042      25.619      0.139        24.59       0.034        23.605      0.034        23.357      0.026        22.826       0.018         98.992       -99.0         98.993       -99.0         22.168       0.008         21.809       0.007         21.24      0.015       21.262     0.004       20.64      0.004       20.811     0.005       21.157     0.031       21.257     0.035       0      0.0   
  4376    1.097     25.184   0.075     25.099    0.03       24.672      0.084        23.766      0.026        22.616      0.019        22.299      0.013        21.73        0.011         98.992       -99.0         21.375       0.005         21.044       0.003         20.708       0.002         20.098     0.004       20.111     0.001       19.474     0.002       19.527     0.002       19.668     0.009       19.395     0.007       0      0.03  
  4459    1.043     28.246   1.183     28.225    0.372      27.394      0.558        25.71       0.075        24.365      0.051        24.04       0.035        23.459       0.025         98.992       -99.0         98.993       -99.0         22.717       0.009         22.361       0.008         21.979     0.018       21.903     0.004       21.42      0.009       21.757     0.013       22.234     0.087       22.572     0.12        0      0.03  
  4529    1.096     98.967   -99.0     31.085    7.347      26.475      0.687        24.342      0.064        22.759      0.031        22.321      0.016        21.654       0.014         98.992       -99.0         21.153       0.007         20.777       0.003         20.398       0.003         19.918     0.005       19.921     0.001       19.419     0.002       19.692     0.002       20.174     0.016       20.496     0.021       0      0.03  
  4589    1.067     25.104   0.057     25.031    0.025      25.042      0.068        24.884      0.028        24.471      0.048        24.31       0.036        23.999       0.034         98.992       -99.0         23.881       0.043         23.798       0.019         23.682       0.021         23.431     0.083       98.997     -99.0       23.211     0.064       23.461     0.068       23.669     0.331       24.083     0.493       0      0.0   
  4608    1.067     25.278   0.093     25.303    0.038      24.974      0.158        23.929      0.041        22.582      0.025        22.329      0.015        21.683       0.013         98.992       -99.0         21.286       0.007         20.937       0.003         20.589       0.003         20.085     0.005       20.067     0.001       19.512     0.002       19.692     0.002       20.126     0.014       20.458     0.02        0      0.03  
  4644    1.07301   27.055   0.328     26.995    0.106      26.885      0.247        26.199      0.072        25.411      0.086        25.231      0.062        24.718       0.05          98.992       -99.0         24.445       0.059         24.034       0.019         23.74        0.017         23.261     0.054       98.997     -99.0       22.661     0.035       22.861     0.034       22.904     0.145       23.155     0.186       0      0.03  
  5012    1.0443    23.363   0.011     23.286    0.009      98.971      -99.0        98.981      -99.0        98.988      -99.0        22.528      0.008        22.35        0.024         98.992       -99.0         98.993       -99.0         22.105       0.008         22.098       0.009         98.997     -99.0       21.801     0.008       21.368     0.012       21.656     0.012       21.999     0.085       22.155     0.106       0      0.03  
  5068    1.081     98.967   -99.0     29.114    0.756      27.187      0.534        27.686      0.483        25.702      0.157        25.252      0.062        24.594       0.066         98.992       -99.0         24.26        0.036         23.821       0.016         23.364       0.013         23.006     0.048       22.897     0.012       22.409     0.017       22.575     0.025       22.884     0.151       23.472     0.264       0      0.0   
  5219    1.096     25.05    0.056     24.99     0.023      24.911      0.065        24.542      0.028        23.843      0.031        23.686      0.024        23.307       0.022         98.992       -99.0         98.993       -99.0         22.906       0.009         22.756       0.009         22.491     0.03        22.469     0.008       22.014     0.016       22.279     0.02        22.834     0.129       22.556     0.099       0      0.0   
  5568    1.036     25.593   0.094     25.688    0.037      25.592      0.106        25.172      0.037        24.41       0.045        24.228      0.032        23.905       0.033         98.992       -99.0         98.993       -99.0         23.527       0.015         23.366       0.016         23.132     0.063       23.086     0.02        22.799     0.039       23.101     0.046       23.64      0.291       23.86      0.359       0      0.0   
  5789    1.053     26.008   0.138     25.924    0.044      26.006      0.164        25.245      0.044        24.521      0.053        24.363      0.034        24.053       0.04          98.992       -99.0         98.993       -99.0         23.652       0.018         23.355       0.016         23.188     0.074       23.178     0.016       22.983     0.048       22.968     0.046       23.997     0.445       24.094     0.493       0      0.0   
  5845    1.002     25.318   0.072     25.237    0.029      98.971      -99.0        98.981      -99.0        98.988      -99.0        24.57       0.028        24.39        0.09          98.992       -99.0         98.993       -99.0         24.071       0.034         23.937       0.034         98.997     -99.0       98.997     -99.0       23.476     0.096       23.612     0.088       22.872     0.255       23.857     0.693       0      0.0   
  5950    1.067     98.967   -99.0     30.047    1.061      27.695      0.658        26.261      0.099        24.812      0.067        24.589      0.04         23.978       0.036         98.992       -99.0         98.993       -99.0         23.098       0.01          22.666       0.008         22.116     0.025       22.108     0.005       21.643     0.013       21.847     0.015       22.179     0.078       22.733     0.131       0      0.02  
  6141    1.0989    23.84    0.018     23.776    0.012      23.706      0.03         23.49       0.015        23.042      0.019        22.957      0.011        22.647       0.017         98.992       -99.0         22.555       0.008         22.457       0.005         22.401       0.006         22.198     0.022       22.206     0.006       21.76      0.011       22.074     0.02        22.434     0.106       22.952     0.186       0      0.02  
  6159    1.062     23.982   0.022     23.898    0.012      23.832      0.033        23.588      0.013        23.134      0.021        23.027      0.014        22.77        0.017         98.992       -99.0         98.993       -99.0         22.59        0.008         22.514       0.009         22.325     0.043       22.381     0.007       22.207     0.024       22.305     0.027       22.525     0.119       22.694     0.14        0      0.0   
  6221    1.002     24.111   0.026     24.044    0.013      23.806      0.044        22.822      0.013        21.795      0.011        21.609      0.007        21.177       0.008         98.992       -99.0         20.901       0.007         20.568       0.003         20.284       0.003         19.764     0.005       98.997     -99.0       19.26      0.002       19.542     0.003       19.83      0.011       20.0       0.012       0      0.03  
  6401    1.018     27.036   0.325     27.369    0.148      27.796      0.88         25.328      0.068        23.836      0.037        23.496      0.017        22.954       0.019         98.992       -99.0         22.529       0.007         22.08        0.005         21.684       0.004         21.136     0.011       21.096     0.002       20.547     0.005       20.814     0.005       21.235     0.031       21.569     0.048       0      0.03  
  6665    1.0433    24.018   0.021     23.963    0.013      23.85       0.064        23.725      0.023        23.366      0.023        23.256      0.013        23.049       0.024         98.992       -99.0         98.993       -99.0         22.834       0.016         22.823       0.018         22.72      0.038       98.997     -99.0       22.192     0.026       22.531     0.029       22.301     0.131       23.27      0.353       0      0.0   
  7011    1.043     24.798   0.042     24.72     0.021      24.702      0.074        24.159      0.03         23.147      0.022        22.953      0.011        22.517       0.017         98.992       -99.0         22.365       0.009         22.164       0.005         22.048       0.006         21.744     0.012       21.758     0.003       21.366     0.006       21.669     0.012       21.951     0.055       21.925     0.057       0      0.19  
  7094    1.08132   24.865   0.043     24.846    0.023      24.669      0.057        24.673      0.042        24.322      0.047        24.249      0.027        24.04        0.048         98.992       -99.0         23.753       0.023         23.84        0.018         23.835       0.022         24.02      0.116       23.725     0.024       24.298     0.09        26.82      1.542       99.0       -99.0       26.023     2.616       0      0.0   
  7183    1.097     24.136   0.024     24.101    0.015      23.866      0.045        23.038      0.018        22.129      0.013        21.888      0.007        21.401       0.01          98.992       -99.0         21.08        0.004         20.737       0.002         20.436       0.002         19.891     0.003       19.842     0.001       19.255     0.001       19.448     0.002       19.652     0.008       19.4       0.007       0      0.03  
  7195    1.015     23.643   0.023     23.566    0.011      23.347      0.04         22.703      0.012        21.797      0.013        21.612      0.008        21.169       0.009         98.992       -99.0         20.925       0.003         20.62        0.002         20.332       0.002         19.859     0.007       19.834     0.001       19.435     0.002       19.704     0.003       20.061     0.013       20.299     0.016       0      0.0   
  7219    1.094     30.48    8.938     27.797    0.257      26.819      0.635        24.853      0.072        23.612      0.042        23.224      0.017        22.597       0.022         98.992       -99.0         22.204       0.009         21.871       0.005         21.508       0.005         21.059     0.009       21.053     0.002       20.563     0.003       20.876     0.006       21.351     0.035       21.797     0.058       0      0.03  
  7603    1.01275   24.723   0.046     24.599    0.02       24.493      0.048        24.414      0.027        23.902      0.033        23.837      0.018        23.666       0.031         98.992       -99.0         23.639       0.015         23.517       0.012         23.519       0.015         23.667     0.068       23.399     0.015       23.12      0.048       23.533     0.111       23.77      0.399       23.974     0.532       0      0.0   
  7649    1.098     25.216   0.064     25.206    0.027      25.115      0.075        24.842      0.033        24.273      0.044        24.126      0.027        23.825       0.036         98.992       -99.0         23.704       0.014         23.529       0.014         23.339       0.015         23.156     0.059       23.115     0.016       22.713     0.038       22.994     0.054       23.222     0.204       24.128     0.481       0      0.0   
  7764    1.029     25.728   0.095     25.564    0.035      25.628      0.187        25.059      0.045        24.39       0.029        24.272      0.026        23.995       0.034         98.992       -99.0         98.993       -99.0         23.583       0.014         23.413       0.015         23.268     0.055       23.21      0.025       22.717     0.037       22.962     0.035       23.445     0.243       23.175     0.199       0      0.02  
  7772    1.09803   25.392   0.083     25.296    0.031      25.133      0.082        24.807      0.048        24.258      0.052        24.015      0.026        23.64        0.033         98.992       -99.0         23.526       0.023         23.262       0.012         23.076       0.012         22.747     0.043       22.788     0.013       22.291     0.027       22.618     0.032       22.746     0.136       22.777     0.155       0      0.0   
  7837    1.095     23.292   0.013     23.242    0.009      23.171      0.016        22.671      0.008        22.016      0.008        21.881      0.006        21.522       0.007         98.992       -99.0         21.373       0.005         21.117       0.003         20.951       0.003         20.567     0.007       20.571     0.002       20.149     0.002       20.414     0.004       20.752     0.019       20.619     0.018       0      0.0   
  7886    1.071     24.765   0.05      24.714    0.022      24.651      0.095        24.087      0.028        23.155      0.028        22.905      0.016        22.359       0.018         98.992       -99.0         22.013       0.006         21.676       0.004         21.308       0.004         20.706     0.008       20.714     0.002       20.199     0.004       20.39      0.006       20.765     0.022       20.963     0.027       0      0.03  
  7988    1.046     25.341   0.074     25.172    0.026      25.184      0.095        24.556      0.041        23.722      0.036        23.595      0.021        23.257       0.026         98.992       -99.0         23.065       0.017         22.806       0.008         22.593       0.008         22.145     0.024       22.185     0.007       21.621     0.01        21.96      0.015       22.339     0.08        22.427     0.094       0      0.0   
  8038    1.037     25.878   0.113     25.85     0.042      25.62       0.099        25.326      0.06         24.363      0.045        24.217      0.023        23.839       0.036         98.992       -99.0         23.576       0.016         23.283       0.01          23.1         0.01          22.742     0.028       22.778     0.007       22.309     0.014       22.562     0.025       22.766     0.108       22.458     0.088       0      0.08  
  8041    1.058     27.571   0.561     27.875    0.232      26.809      0.291        25.198      0.056        23.812      0.029        23.456      0.015        22.809       0.017         98.992       -99.0         22.383       0.007         22.036       0.004         21.699       0.004         21.158     0.006       21.216     0.002       20.71      0.003       21.018     0.006       21.469     0.03        21.986     0.053       0      0.03  
  8067    1.038     27.03    0.337     26.31     0.06       25.883      0.193        24.737      0.039        23.426      0.031        23.166      0.018        22.541       0.017         98.992       -99.0         22.187       0.006         21.898       0.004         21.592       0.004         21.2       0.009       21.181     0.002       20.737     0.007       21.031     0.009       21.46      0.041       21.859     0.062       0      0.03  
  8113    1.046     25.326   0.068     25.021    0.026      25.021      0.071        24.753      0.029        24.206      0.034        24.088      0.025        23.792       0.031         98.992       -99.0         23.67        0.015         23.549       0.013         23.441       0.014         23.217     0.049       23.239     0.013       23.015     0.028       23.459     0.069       23.366     0.204       24.501     0.633       0      0.0   
  8154    1.082     26.345   0.196     25.907    0.046      25.668      0.152        24.984      0.06         23.899      0.045        23.502      0.022        23.22        0.029         98.992       -99.0         98.993       -99.0         22.39        0.011         21.957       0.009         21.465     0.015       21.463     0.005       20.911     0.007       20.875     0.008       21.281     0.041       21.506     0.049       0      0.03  
  8167    1.064     26.565   0.252     26.531    0.076      26.553      0.368        25.469      0.081        24.125      0.049        23.949      0.037        23.441       0.031         98.992       -99.0         23.058       0.012         22.587       0.009         22.117       0.007         21.374     0.019       21.311     0.004       20.54      0.005       20.725     0.008       20.987     0.028       21.029     0.03        0      0.0   
  8402    1.049     25.124   0.077     25.042    0.028      24.995      0.072        24.481      0.024        23.656      0.023        23.544      0.017        23.186       0.02          98.992       -99.0         23.017       0.009         22.725       0.006         22.537       0.006         22.053     0.015       22.104     0.004       21.49      0.012       21.866     0.027       22.215     0.098       22.24      0.115       0      0.02  
  8461    1.021     25.299   0.073     25.206    0.029      25.105      0.073        24.876      0.03         24.25       0.041        24.18       0.025        23.897       0.036         98.992       -99.0         23.808       0.011         23.672       0.014         23.616       0.016         23.472     0.067       23.371     0.015       23.094     0.032       23.398     0.063       23.422     0.209       23.639     0.282       0      0.0   
  8540    1.096     25.2     0.065     25.138    0.028      25.168      0.076        25.032      0.033        24.587      0.043        24.471      0.031        24.133       0.037         98.992       -99.0         24.052       0.019         23.946       0.018         23.86        0.019         23.455     0.064       23.66      0.019       23.393     0.04        23.816     0.094       23.855     0.307       30.82      204.523     0      0.0   
  8586    1.042     24.498   0.033     24.465    0.016      24.38       0.044        24.282      0.026        23.902      0.032        23.852      0.019        23.69        0.028         98.992       -99.0         23.542       0.013         23.476       0.011         23.55        0.014         23.6       0.072       23.343     0.02        22.881     0.025       23.289     0.045       24.367     0.476       24.524     0.576       0      0.0   
  8976    1.09      24.74    0.046     24.74     0.021      24.599      0.062        24.591      0.043        24.172      0.043        24.058      0.028        23.785       0.04          98.992       -99.0         23.69        0.025         23.643       0.017         23.596       0.02          23.706     0.099       23.511     0.022       23.182     0.031       23.523     0.053       24.184     0.382       24.477     0.53        0      0.0   
  9026    1.016     25.591   0.092     25.526    0.036      25.364      0.114        24.224      0.023        22.94       0.019        22.72       0.014        22.22        0.013         98.992       -99.0         21.932       0.005         21.652       0.003         21.442       0.003         21.059     0.007       21.028     0.002       20.62      0.006       20.895     0.008       21.065     0.026       21.242     0.034       0      0.04  
  9372    1.007     25.203   0.071     25.21     0.029      25.109      0.082        25.076      0.058        24.465      0.057        24.38       0.027        24.117       0.048         98.992       -99.0         24.12        0.03          24.011       0.021         23.999       0.025         24.086     0.11        24.057     0.037       23.711     0.063       24.017     0.099       24.642     0.673       24.486     0.615       0      0.0   
  9380    1.023     26.526   0.21      26.098    0.052      26.198      0.184        25.388      0.065        24.404      0.048        24.256      0.024        23.833       0.034         98.992       -99.0         23.688       0.019         23.345       0.011         23.099       0.011         22.532     0.026       22.548     0.01        21.863     0.01        22.084     0.015       22.33      0.074       22.337     0.078       0      0.0   
  9606    1.005     25.384   0.069     25.31     0.029      25.185      0.067        25.054      0.039        24.481      0.04         24.388      0.025        24.188       0.04          98.992       -99.0         24.099       0.016         23.996       0.014         23.933       0.016         23.863     0.068       23.718     0.015       23.463     0.038       23.903     0.081       23.62      0.2         24.2       0.372       0      0.01  
  9769    1.038     25.645   0.109     25.518    0.04       25.194      0.12         24.24       0.041        23.116      0.027        22.922      0.013        22.388       0.017         98.992       -99.0         22.03        0.007         21.627       0.004         21.224       0.003         20.512     0.005       20.517     0.002       19.785     0.002       19.978     0.002       20.215     0.011       20.194     0.011       0      0.02  
  9871    1.08027   24.623   0.036     24.67     0.018      24.623      0.054        24.292      0.028        23.794      0.031        23.638      0.017        23.305       0.022         98.992       -99.0         23.22        0.017         23.024       0.008         22.917       0.008         22.666     0.033       22.634     0.011       22.157     0.015       22.506     0.023       22.662     0.098       22.995     0.143       0      0.01  
  9884    1.048     22.696   0.006     22.697    0.006      22.661      0.014        22.665      0.008        22.428      0.009        22.371      0.007        22.245       0.011         98.992       -99.0         22.179       0.008         22.174       0.004         22.261       0.005         22.131     0.021       22.122     0.007       21.756     0.011       22.139     0.015       22.347     0.073       22.241     0.069       0      0.03  
  10056   1.002     27.107   0.553     26.537    0.096      26.579      0.261        25.905      0.117        24.981      0.077        24.624      0.042        24.194       0.05          98.992       -99.0         23.975       0.021         23.72        0.017         23.472       0.016         23.102     0.059       23.068     0.013       22.647     0.03        22.998     0.057       23.25      0.222       23.65      0.352       0      0.0   
  10075   1.086     25.519   0.082     25.462    0.033      25.196      0.022        25.097      0.012        24.631      0.009        24.584      0.049        24.162       0.011         98.992       -99.0         24.06        0.019         23.976       0.023         23.847       0.024         23.713     0.134       23.757     0.026       24.265     0.117       24.186     0.124       24.679     0.652       24.694     0.713       0      0.0   
  10099   1.0202    24.234   0.028     24.258    0.015      24.229      0.079        98.981      -99.0        98.988      -99.0        22.967      0.013        98.991       -99.0         98.992       -99.0         22.519       0.006         22.32        0.008         22.18        0.009         21.876     0.022       21.793     0.006       21.341     0.011       21.638     0.015       21.864     0.083       21.977     0.094       0      0.0   
  10246   1.07301   25.722   0.096     25.571    0.033      25.322      0.09         25.143      0.053        24.683      0.061        24.517      0.029        24.147       0.044         98.992       -99.0         23.979       0.023         23.862       0.016         23.749       0.017         23.56      0.064       23.598     0.029       23.318     0.036       23.7       0.06        24.605     0.55        23.99      0.326       0      0.0   
  10413   1.094     22.905   0.015     22.877    0.009      22.72       0.028        22.12       0.013        21.292      0.01         21.048      0.006        20.562       0.007         98.992       -99.0         20.308       0.003         20.01        0.002         19.733       0.002         19.238     0.003       19.23      0.001       18.769     0.001       19.03      0.001       19.41      0.007       19.579     0.008       0      0.01  
  10465   1.016     24.7     0.046     24.727    0.022      24.717      0.068        24.386      0.039        23.816      0.035        23.641      0.026        23.391       0.032         98.992       -99.0         23.263       0.021         23.147       0.012         23.077       0.014         23.065     0.066       22.876     0.017       22.633     0.024       23.077     0.046       23.656     0.278       23.923     0.365       0      0.0   
  10496   1.08      25.186   0.08      25.271    0.033      25.129      0.021        24.525      0.007        23.674      0.004        23.415      0.018        22.904       0.004         98.992       -99.0         22.558       0.006         22.231       0.005         21.904       0.004         21.374     0.014       21.357     0.002       20.785     0.006       21.046     0.008       21.467     0.038       21.812     0.057       0      0.03  
  10679   1.053     23.94    0.033     23.939    0.015      23.685      0.03         23.516      0.017        23.117      0.019        23.008      0.019        22.702       0.018         98.992       -99.0         22.654       0.015         22.491       0.01          22.357       0.01          22.003     0.04        21.904     0.01        21.683     0.018       21.78      0.019       22.062     0.095       21.978     0.095       0      0.0   
  11058   1.08757   25.018   0.057     25.092    0.025      25.012      0.017        24.507      0.006        23.801      0.004        23.721      0.019        23.351       0.005         98.992       -99.0         23.184       0.012         22.985       0.009         22.763       0.008         22.397     0.035       22.377     0.007       21.877     0.014       22.143     0.021       22.525     0.1         22.488     0.1         0      0.0   
  11156   1.01476   24.619   0.043     24.656    0.02       24.563      0.049        24.275      0.025        23.764      0.028        23.663      0.014        23.447       0.027         98.992       -99.0         23.418       0.014         23.291       0.009         23.286       0.011         23.227     0.1         23.131     0.014       22.739     0.03        23.167     0.051       23.962     0.388       23.688     0.327       0      0.0   
  11425   1.033     25.361   0.073     25.304    0.028      25.244      0.082        24.987      0.042        24.561      0.048        24.469      0.026        24.215       0.043         98.992       -99.0         24.103       0.026         23.994       0.017         23.918       0.019         23.856     0.168       23.679     0.024       23.132     0.03        23.565     0.053       24.124     0.354       24.154     0.377       0      0.0   
  11618   1.091     23.504   0.016     23.466    0.011      98.971      -99.0        98.981      -99.0        98.988      -99.0        22.117      0.015        98.991       -99.0         98.992       -99.0         98.993       -99.0         21.347       0.01          21.163       0.009         20.936     0.018       20.876     0.004       20.417     0.007       20.651     0.008       21.158     0.056       21.075     0.054       0      0.0   
  11981   1.074     27.944   0.831     98.967    -99.0      98.971      -99.0        25.413      0.09         23.84       0.039        23.523      0.025        22.839       0.022         98.992       -99.0         22.345       0.006         21.956       0.005         21.607       0.004         21.068     0.009       21.09      0.002       20.591     0.006       20.816     0.006       21.252     0.035       21.64      0.055       0      0.03  
  12216   1.08548   25.047   0.051     24.966    0.022      24.933      0.065        24.613      0.034        23.925      0.031        23.83       0.019        23.587       0.03          98.992       -99.0         23.312       0.011         23.096       0.008         23.026       0.008         22.736     0.049       22.645     0.007       22.193     0.012       22.483     0.018       22.579     0.082       22.594     0.09        0      0.01  
  12304   1.0793    24.109   0.024     24.076    0.013      24.047      0.038        23.842      0.02         23.333      0.022        23.255      0.014        22.984       0.021         98.992       -99.0         22.888       0.007         22.728       0.007         22.639       0.007         22.491     0.042       22.301     0.006       21.778     0.01        22.096     0.015       22.563     0.093       22.389     0.083       0      0.01  
  12354   1.078     25.211   0.066     25.196    0.026      25.088      0.015        24.912      0.007        24.469      0.006        24.364      0.03         24.068       0.008         98.992       -99.0         23.981       0.016         23.879       0.015         23.852       0.018         23.73      0.084       23.744     0.024       23.504     0.092       23.687     0.09        24.327     0.524       24.299     0.562       0      0.0   
  12588   1.071     25.373   0.073     25.282    0.032      25.277      0.056        24.967      0.026        24.383      0.022        24.303      0.023        23.981       0.023         98.992       -99.0         23.84        0.016         23.704       0.013         23.557       0.014         23.421     0.057       23.303     0.014       22.979     0.024       23.282     0.043       23.394     0.159       23.97      0.283       0      0.0   
  12829   1.092     25.661   0.098     25.719    0.037      25.821      0.115        25.232      0.045        24.658      0.045        24.494      0.031        24.181       0.037         98.992       -99.0         23.9         0.021         23.683       0.013         23.486       0.013         23.295     0.043       23.129     0.01        22.712     0.026       23.135     0.044       23.386     0.215       24.044     0.427       0      0.02  
  12997   1.09384   24.192   0.025     24.156    0.014      24.088      0.011        23.86       0.005        23.418      0.004        23.246      0.016        23.061       0.005         98.992       -99.0         22.937       0.005         22.817       0.003         22.728       0.003         22.444     0.031       22.456     0.01        22.13      0.02        22.424     0.025       22.687     0.111       22.779     0.125       0      0.0   
  13086   1.025     24.68    0.04      24.575    0.018      24.477      0.015        24.419      0.008        23.916      0.006        23.893      0.024        23.581       0.007         98.992       -99.0         23.511       0.006         23.466       0.005         23.453       0.005         23.245     0.068       23.288     0.02        23.094     0.046       23.525     0.058       23.754     0.254       23.812     0.283       0      0.0   
  13097   1.097     23.863   0.019     23.834    0.012      23.752      0.012        23.248      0.005        22.553      0.003        22.419      0.012        22.014       0.003         98.992       -99.0         21.792       0.003         21.569       0.002         21.342       0.001         20.965     0.01        20.98      0.003       20.477     0.004       20.569     0.004       20.828     0.019       20.897     0.022       0      0.0   
  13249   1.02182   25.615   0.088     25.532    0.033      25.668      0.123        24.759      0.039        23.874      0.025        23.755      0.032        23.366       0.027         98.992       -99.0         23.158       0.017         22.877       0.01          22.682       0.01          98.997     -99.0       22.384     0.008       21.646     0.015       21.833     0.013       22.477     0.106       22.26      0.096       0      0.01  
  13312   1.076     25.632   0.089     25.534    0.034      25.496      0.116        25.015      0.037        24.257      0.029        24.07       0.025        23.73        0.032         98.992       -99.0         23.521       0.014         23.41        0.02          23.233       0.021         98.997     -99.0       23.163     0.029       22.711     0.044       22.991     0.043       23.399     0.358       23.456     0.391       0      0.0   
  13400   1.09803   23.95    0.023     23.908    0.012      23.79       0.009        23.581      0.004        23.171      0.003        23.01       0.015        22.804       0.004         98.992       -99.0         22.709       0.004         22.617       0.003         22.515       0.003         22.32      0.03        22.299     0.009       22.021     0.025       22.387     0.028       22.614     0.116       22.766     0.137       0      0.0   
  13601   1.022     24.11    0.023     24.024    0.013      23.812      0.033        22.809      0.01         21.719      0.006        21.504      0.006        20.996       0.006         98.992       -99.0         20.768       0.003         20.453       0.002         20.174       0.002         98.997     -99.0       19.626     0.001       19.071     0.002       19.322     0.001       19.674     0.01        19.826     0.012       0      0.03  
  13637   1.018     26.03    0.186     25.921    0.054      25.223      0.124        24.075      0.033        22.767      0.016        22.466      0.011        21.894       0.012         98.992       -99.0         21.543       0.006         21.253       0.003         20.936       0.003         20.537     0.007       20.473     0.001       20.039     0.003       20.399     0.003       20.8       0.02        21.216     0.033       0      0.03  
  13890   1.095     26.329   0.185     26.598    0.078      26.271      0.054        25.924      0.024        25.242      0.015        25.047      0.052        24.619       0.015         98.992       -99.0         24.435       0.013         24.192       0.007         23.946       0.006         23.647     0.082       23.513     0.02        23.066     0.05        23.333     0.053       24.23      0.422       23.841     0.31        0      0.0   
  13903   1.083     25.907   0.124     25.802    0.043      25.571      0.087        25.245      0.045        24.521      0.033        24.427      0.043        24.04        0.034         98.992       -99.0         23.855       0.023         23.702       0.017         23.505       0.017         98.997     -99.0       23.35      0.02        22.925     0.048       23.256     0.046       23.626     0.317       23.566     0.338       0      0.0   
  13995   1.031     25.03    0.051     24.94     0.021      24.863      0.014        24.708      0.007        24.298      0.005        24.227      0.021        24.094       0.008         98.992       -99.0         23.858       0.007         23.853       0.005         23.899       0.005         23.65      0.068       23.641     0.018       23.34      0.068       23.647     0.073       23.736     0.275       23.682     0.273       0      0.07  
  14098   1.096     24.879   0.06      24.894    0.025      24.802      0.021        24.44       0.009        23.854      0.006        23.66       0.027        23.272       0.007         98.992       -99.0         23.176       0.007         23.024       0.004         22.875       0.004         22.696     0.046       22.644     0.015       22.495     0.04        22.784     0.042       23.086     0.187       23.371     0.251       0      0.0   
  14099   1.09279   23.909   0.02      23.938    0.013      23.833      0.008        23.53       0.003        23.005      0.003        22.872      0.017        22.532       0.003         98.992       -99.0         22.427       0.007         22.238       0.006         22.124       0.006         21.923     0.031       21.853     0.009       21.496     0.011       21.806     0.012       22.141     0.058       22.192     0.064       0      0.0   
  14222   1.018     25.526   0.097     25.399    0.036      25.122      0.021        24.95       0.01         24.296      0.007        24.313      0.033        23.907       0.009         98.992       -99.0         23.773       0.018         23.696       0.017         23.558       0.018         23.643     0.084       23.462     0.018       23.328     0.047       23.724     0.087       23.801     0.307       24.814     0.844       0      0.0   
  14246   1.098     26.741   0.284     26.655    0.093      26.737      0.076        25.576      0.017        24.569      0.008        24.34       0.041        23.809       0.008         98.992       -99.0         23.507       0.015         23.014       0.01          22.592       0.008         21.774     0.021       21.786     0.006       20.897     0.006       20.979     0.006       21.22      0.024       21.065     0.022       0      0.0   
  14288   1.086     24.224   0.031     24.181    0.015      24.088      0.011        24.039      0.006        23.734      0.005        23.603      0.029        23.386       0.007         98.992       -99.0         23.296       0.007         23.263       0.005         23.257       0.005         23.348     0.088       23.102     0.029       22.937     0.049       23.347     0.057       23.624     0.268       23.984     0.391       0      0.0   
