# ID      zz    CTIO_U eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2   RA   DEC  
  7545  3.009   28.479 1.223  28.166 0.309 26.099 0.134 25.088 0.038 24.847 0.038 24.841 0.038 24.864 0.058 98.992 -99.0 98.993 -99.0 24.694 0.036 24.193 0.028 24.048 0.118 24.069 0.048 23.534 0.074 23.501 0.056 23.761 0.31     23.176 0.195   0    0.0  53.0419835 -27.8396441
  7881  3.048   28.644 1.441  27.993 0.266 26.879 0.24  25.979 0.057 25.467 0.08  25.514 0.059 25.401 0.088 98.992 -99.0 25.217 0.039 25.046 0.036 24.509 0.027 23.786 0.069 23.736 0.016 23.224 0.043 23.143 0.065 23.131 0.191    22.84  0.162   0    0.0  53.153438  -27.8367095
  8193  3.001   98.967 -99.0  31.085 3.141 27.6   0.431 26.739 0.118 26.265 0.153 26.452 0.148 26.316 0.179 98.992 -99.0 26.0   0.073 25.84  0.066 25.044 0.039 25.174 0.391 24.322 0.041 23.726 0.128 23.511 0.122 23.336 0.265    23.186 0.241   0    0.03 53.2119246 -27.8337553
  8231  3.024   27.195 0.365  26.913 0.087 25.451 0.086 24.65  0.031 24.402 0.045 24.439 0.034 24.291 0.046 98.992 -99.0 98.993 -99.0 24.262 0.023 23.825 0.019 23.428 0.073 23.415 0.019 23.118 0.058 23.025 0.066 22.638 0.133    23.243 0.236   0    0.0  53.2197633 -27.8338229
  8971  3.095   98.967 -99.0  29.57  0.945 27.631 0.368 26.668 0.094 26.15  0.129 26.161 0.072 26.267 0.159 98.992 -99.0 26.082 0.069 26.052 0.065 25.514 0.048 25.608 0.431 25.123 0.076 24.884 0.271 25.105 0.413 24.406 0.577    25.94  2.541   0    0.08 53.2051935 -27.8272555
  9297  3.06    30.56  8.35   27.917 0.248 26.72  0.189 25.985 0.058 25.73  0.102 25.729 0.078 25.794 0.131 98.992 -99.0 25.897 0.046 25.866 0.066 25.519 0.059 25.176 0.3   25.072 0.058 24.688 0.252 24.827 0.276 24.314 0.521    24.011 0.429   0    0.35 53.1795189 -27.8244292
  9551  3.085   28.702 1.454  27.853 0.208 26.946 0.102 26.036 0.025 25.835 0.027 25.948 0.076 25.949 0.048 98.992 -99.0 25.91  0.039 25.973 0.06  25.594 0.051 25.016 0.239 24.984 0.045 25.15  0.314 24.92  0.24  27.178 6.138    28.502 22.915  0    0.08 53.1756365 -27.8222349
  9981  3.065   28.121 1.414  29.694 1.487 27.367 0.384 26.473 0.111 26.301 0.172 26.264 0.118 26.289 0.193 98.992 -99.0 26.503 0.139 26.371 0.122 25.78  0.087 25.404 0.431 25.838 0.163 25.659 1.038 25.925 1.328 25.922 3.642    27.84  25.351  0    0.35 53.2104562 -27.8186491
  10564 3.029   29.212 2.984  27.961 0.27  26.501 0.042 25.913 0.014 25.791 0.015 26.023 0.103 25.761 0.026 98.992 -99.0 25.932 0.057 25.877 0.071 25.564 0.066 26.038 0.896 25.387 0.083 98.999 -99.0 26.351 1.375 27.499 11.588   25.533 2.167   0    0.35 53.1723021 -27.8137405
  10578 3.064   28.863 1.791  30.707 1.51  27.356 0.119 25.307 0.012 24.588 0.007 24.527 0.037 24.348 0.011 98.992 -99.0 24.106 0.017 23.636 0.013 22.627 0.007 21.659 0.017 21.674 0.003 21.068 0.006 20.853 0.005 20.605 0.014    20.275 0.011   0    0.02 53.1652828 -27.814068 
  10667 3.1     29.306 2.508  28.403 0.341 26.267 0.143 25.383 0.05  25.096 0.065 25.105 0.04  25.199 0.086 98.992 -99.0 25.058 0.033 25.021 0.035 24.527 0.028 24.925 0.318 24.033 0.029 23.943 0.116 23.917 0.118 23.926 0.363    23.763 0.345   0    0.0  53.2179164 -27.8126534
  10995 3.095   27.628 0.638  29.119 0.62  27.278 0.068 26.372 0.018 26.159 0.017 26.266 0.1   26.155 0.031 98.992 -99.0 26.068 0.071 26.065 0.074 25.715 0.065 26.039 0.768 25.417 0.075 98.999 -99.0 25.158 0.35  24.314 0.499    25.804 2.183   0    0.35 53.1445717 -27.8094064
  11375 3.051   98.967 -99.0  29.119 0.479 27.555 0.325 26.54  0.089 26.244 0.114 26.392 0.078 26.621 0.184 98.992 -99.0 26.315 0.1   26.361 0.081 25.681 0.053 26.527 1.467 25.319 0.073 25.016 0.178 25.264 0.261 24.001 0.308    99.0   -99.0   0    0.08 53.0803176 -27.8060348
  11439 3.007   27.203 0.392  27.671 0.192 26.684 0.049 25.815 0.014 25.624 0.013 25.65  0.073 25.675 0.025 98.992 -99.0 25.584 0.023 25.518 0.017 25.074 0.012 24.914 0.224 24.456 0.033 24.554 0.147 24.48  0.133 24.177 0.351    24.344 0.433   0    0.03 53.1611329 -27.806073 
  11792 3.049   27.383 0.418  27.141 0.115 26.151 0.077 25.304 0.031 25.69  0.065 25.834 0.085 25.679 0.079 98.992 -99.0 25.838 0.048 25.879 0.059 25.771 0.065 25.195 0.314 24.785 0.05  25.567 0.446 25.577 0.435 26.143 2.499    24.856 0.84    0    0.1  53.2195476 -27.8025883
  11976 3.095   98.967 -99.0  29.417 0.573 27.757 0.387 26.62  0.112 26.316 0.107 26.388 0.104 26.422 0.172 98.992 -99.0 26.08  0.092 26.061 0.066 25.474 0.047 27.402 3.177 24.894 0.058 24.821 0.148 24.719 0.143 26.827 3.985    24.592 0.552   0    0.08 53.0556737 -27.8011045
  12053 3.029   28.649 1.547  28.62  0.447 27.321 0.069 26.425 0.019 26.298 0.019 26.436 0.095 26.377 0.036 98.992 -99.0 26.264 0.087 26.2   0.083 25.827 0.069 25.414 0.317 25.471 0.101 24.965 0.231 24.904 0.296 24.528 0.613    24.617 0.728   0    0.35 53.1299261 -27.8003433
  12230 3.002   27.084 0.33   27.548 0.154 26.272 0.052 25.616 0.018 25.516 0.018 25.626 0.094 25.578 0.032 98.992 -99.0 25.673 0.056 25.608 0.056 25.268 0.049 25.6   0.564 25.116 0.087 24.961 0.279 25.024 0.273 24.545 0.543    24.669 0.64    0    0.36 53.1979081 -27.7991589
  12688 3.06    98.967 -99.0  28.492 0.495 27.18  0.065 26.376 0.019 26.241 0.02  26.281 0.12  26.262 0.036 98.992 -99.0 26.355 0.097 26.325 0.093 25.897 0.08  98.997 -99.0 25.603 0.135 25.979 1.491 26.371 1.67  26.291 4.738    99.0   -99.0   0    0.35 53.1784341 -27.7954611
  12924 3.032   98.967 -99.0  28.913 0.526 27.341 0.105 25.77  0.016 25.438 0.014 25.412 0.069 25.378 0.023 98.992 -99.0 25.168 0.027 24.969 0.019 24.352 0.012 24.128 0.12  23.997 0.032 23.54  0.101 23.49  0.077 24.128 0.454    23.75  0.341   0    0.0  53.1752183 -27.7945993
  13137 3.004   98.967 -99.0  29.492 1.244 28.428 0.23  26.777 0.032 26.271 0.023 26.271 0.107 26.248 0.04  98.992 -99.0 25.96  0.088 25.632 0.064 24.933 0.041 24.621 0.181 24.243 0.032 23.714 0.049 23.566 0.056 23.351 0.159    23.487 0.19    0    0.36 53.121595  -27.7928059
  13236 3.064   98.967 -99.0  28.555 0.329 26.791 0.08  25.949 0.024 25.734 0.023 25.699 0.105 25.787 0.041 98.992 -99.0 25.729 0.051 25.691 0.056 25.17  0.043 24.844 0.271 24.819 0.062 24.552 0.262 24.54  0.215 24.357 0.476    24.721 0.706   0    0.0  53.2062526 -27.7921493
  13423 3.033   27.381 0.429  26.833 0.087 26.065 0.09  25.227 0.03  25.181 0.039 25.154 0.054 25.168 0.059 98.992 -99.0 25.346 0.056 25.281 0.04  25.054 0.039 98.997 -99.0 24.238 0.04  25.03  0.303 24.691 0.157 99.0   -99.0    99.0   -99.0   0    0.36 53.0353189 -27.7907551
  13584 3.07    27.533 0.503  27.097 0.108 25.343 0.035 24.8   0.013 24.662 0.013 24.579 0.081 24.65  0.024 98.992 -99.0 24.5   0.058 24.479 0.055 24.204 0.051 25.088 0.415 24.455 0.07  23.992 0.111 23.826 0.08  99.0   -99.0    24.912 0.795   0    0.37 53.1870946 -27.7899465
  15039 3.063   98.967 -99.0  27.575 0.148 26.24  0.115 25.653 0.051 25.692 0.074 25.69  0.058 25.66  0.085 98.992 -99.0 25.823 0.063 25.888 0.058 25.508 0.049 26.228 1.078 25.041 0.067 25.41  0.59  25.275 0.33  25.56  1.857    99.0   -99.0   0    0.08 53.0607987 -27.7806415
  15428 3.036   27.718 0.578  27.649 0.189 26.511 0.036 25.621 0.01  25.581 0.011 25.646 0.06  25.612 0.021 98.992 -99.0 25.679 0.055 25.723 0.055 25.257 0.044 25.25  0.37  24.978 0.08  25.061 0.306 25.142 0.274 24.015 0.328    26.454 3.255   0    0.04 53.1907574 -27.7780424
  15476 3.058   98.967 -99.0  27.79  0.195 26.649 0.201 25.749 0.071 25.677 0.093 25.653 0.062 25.618 0.095 98.992 -99.0 25.836 0.076 25.756 0.067 25.457 0.062 25.911 0.489 25.409 0.081 26.029 0.527 25.073 0.212 24.945 0.833    30.259 127.597 0    0.35 53.0999588 -27.7776482
  15639 3.087   29.299 2.039  98.967 -99.0 28.421 0.336 27.027 0.06  26.991 0.068 26.322 0.215 26.781 0.102 98.992 -99.0 26.174 0.057 25.731 0.03  24.714 0.012 23.842 0.125 23.547 0.032 22.145 0.021 21.657 0.01  21.173 0.025    21.087 0.025   0    0.35 53.1813641 -27.7775007
  15669 3.096   98.967 -99.0  98.967 -99.0 29.101 0.442 27.762 0.083 27.623 0.086 27.586 0.478 27.114 0.099 98.992 -99.0 26.402 0.048 25.647 0.019 24.838 0.01  24.0   0.119 23.719 0.023 22.26  0.048 21.735 0.022 21.197 0.039    20.761 0.032   0    0.27 53.1834489 -27.7765837
  16133 3.006   28.527 1.19   28.791 0.4   27.095 0.255 25.908 0.072 25.639 0.085 25.435 0.059 25.525 0.096 98.992 -99.0 98.993 -99.0 25.4   0.066 24.813 0.046 98.997 -99.0 24.638 0.052 24.019 0.091 24.056 0.067 23.799 0.355    23.518 0.292   0    0.0  53.0339422 -27.7730296
  16277 3.036   26.936 0.399  30.768 2.533 27.305 0.095 25.933 0.018 25.594 0.015 25.708 0.088 25.498 0.025 98.992 -99.0 25.479 0.025 25.322 0.016 24.751 0.01  24.979 0.306 24.71  0.054 24.434 0.286 24.487 0.217 24.062 0.47     24.034 0.535   0    0.01 53.1641949 -27.7729049
  16350 3.072   27.052 0.42   28.529 0.38  26.992 0.268 25.848 0.062 25.842 0.086 25.82  0.059 25.849 0.103 98.992 -99.0 25.891 0.07  25.73  0.052 25.595 0.057 25.466 0.735 25.647 0.106 24.846 0.425 24.499 0.199 99.0   -99.0    27.447 17.646  0    0.08 53.0476785 -27.7715181
  16529 3.049   98.967 -99.0  30.415 1.609 26.943 0.084 26.224 0.028 26.146 0.03  26.291 0.163 26.101 0.051 98.992 -99.0 26.173 0.05  26.055 0.037 25.585 0.025 98.997 -99.0 25.537 0.093 25.505 0.502 25.312 0.301 27.196 6.649    26.158 2.861   0    0.35 53.154576  -27.7706373
  16827 3.084   27.475 0.533  26.939 0.094 25.556 0.02  24.886 0.007 24.921 0.008 24.975 0.036 24.985 0.015 98.992 -99.0 25.046 0.014 25.156 0.013 24.931 0.011 25.093 0.409 24.543 0.055 24.751 0.279 24.669 0.183 26.003 2.483    24.162 0.517   0    0.01 53.1699386 -27.7683337
  16877 3.083   27.94  0.755  28.368 0.315 26.083 0.135 25.04  0.038 24.803 0.058 24.709 0.046 24.691 0.061 24.675 0.076 98.993 -99.0 24.564 0.042 24.056 0.033 98.997 -99.0 23.918 0.064 23.38  0.056 23.265 0.037 22.718 0.171    23.023 0.24    0    0.0  53.0181697 -27.7675898
  17111 3.012   27.087 0.319  28.244 0.259 26.678 0.042 25.985 0.014 25.819 0.014 25.762 0.059 25.787 0.024 98.992 -99.0 26.074 0.052 26.007 0.039 25.528 0.028 25.545 0.443 25.195 0.094 25.566 0.515 25.056 0.224 99.0   -99.0    25.706 1.889   0    0.05 53.1717594 -27.7658499
  17199 3.041   29.607 3.231  28.322 0.356 26.723 0.188 26.043 0.062 25.841 0.063 25.804 0.072 25.875 0.111 98.992 -99.0 25.844 0.052 25.748 0.066 25.348 0.056 25.307 0.404 25.195 0.091 25.437 0.418 25.756 0.521 25.075 0.952    24.316 0.529   0    0.08 53.2075662 -27.7649803
  18533 3.067   31.038 13.426 98.967 -99.0 27.991 0.752 27.619 0.326 26.716 0.263 26.822 0.364 26.571 0.265 26.479 0.347 98.993 -99.0 25.96  0.144 25.393 0.109 98.997 -99.0 98.997 -99.0 24.624 0.197 24.129 0.091 24.185 0.796    23.686 0.543   0    0.35 53.0126498 -27.7531063
  18660 3.0718  26.671 0.42   26.734 0.128 98.971 -99.0 23.475 0.034 23.134 0.048 23.078 0.04  23.046 0.08  98.992 -99.0 98.993 -99.0 22.872 0.029 22.3   0.019 98.997 -99.0 98.997 -99.0 21.901 0.063 21.922 0.039 99.0   -99.0    23.505 2.459   0    0.0  53.228607  -27.752834 
  18883 3.098   98.967 -99.0  30.45  1.749 98.971 -99.0 29.295 2.441 98.988 -99.0 27.759 1.254 26.808 0.522 98.992 -99.0 98.993 -99.0 25.637 0.146 24.778 0.082 98.997 -99.0 98.997 -99.0 22.543 0.023 22.072 0.011 21.569 0.06     21.718 0.074   0    0.35 53.0132321 -27.7502875
  18885 3.012   98.967 -99.0  29.226 0.675 27.812 0.532 26.457 0.101 26.097 0.163 26.312 0.093 26.021 0.136 98.992 -99.0 26.052 0.091 25.957 0.081 25.471 0.062 25.181 0.253 25.384 0.076 25.053 0.586 25.057 0.426 24.148 0.678    25.627 3.057   0    0.36 53.1250129 -27.7504409
  19042 3.018   29.35  3.526  29.366 0.828 26.867 0.17  26.139 0.078 25.817 0.095 25.998 0.124 25.936 0.123 25.673 0.11  98.993 -99.0 25.915 0.089 25.29  0.063 25.468 0.306 98.997 -99.0 26.114 0.786 25.821 0.416 99.0   -99.0    99.0   -99.0   0    0.05 53.0313089 -27.749138 
  19104 3.092   27.287 0.477  26.359 0.063 24.724 0.054 24.047 0.019 23.888 0.022 23.917 0.021 23.947 0.033 98.992 -99.0 23.954 0.019 24.0   0.021 23.639 0.018 23.018 0.042 23.016 0.011 23.721 0.146 23.739 0.097 23.519 0.334    23.234 0.288   0    0.0  53.1528762 -27.7492439
  19527 3.099   98.967 -99.0  29.145 0.651 26.327 0.148 25.59  0.055 25.538 0.079 25.399 0.058 25.485 0.09  25.656 0.101 98.993 -99.0 25.523 0.054 25.182 0.05  24.771 0.169 98.997 -99.0 98.999 -99.0 99.0   -99.0 25.832 2.252    99.0   -99.0   0    0.08 53.0633347 -27.7445591
  19540 3.029   27.28  0.384  26.847 0.078 25.691 0.107 25.233 0.055 25.218 0.076 25.154 0.062 25.085 0.082 25.247 0.095 98.993 -99.0 24.978 0.048 24.957 0.059 24.719 0.17  25.084 0.323 24.717 0.146 24.996 0.119 24.971 1.05     28.643 32.371  0    0.36 53.081502  -27.7444276
  20304 3.097   26.182 0.137  28.833 0.503 26.853 0.236 25.711 0.068 25.518 0.097 25.522 0.085 25.529 0.12  25.548 0.099 98.993 -99.0 25.466 0.059 25.482 0.074 25.207 0.234 98.997 -99.0 98.999 -99.0 99.0   -99.0 99.0   -99.0    99.0   -99.0   0    0.41 53.0358516 -27.7373601
  20314 3.058   98.967 -99.0  98.967 -99.0 27.957 0.659 26.191 0.099 25.644 0.102 25.899 0.109 25.722 0.124 25.368 0.083 98.993 -99.0 25.185 0.046 24.468 0.03  24.218 0.116 98.997 -99.0 23.743 0.074 23.572 0.038 23.082 0.221    23.646 0.403   0    0.01 53.0897304 -27.7376485
  20710 3.046   98.967 -99.0  31.672 6.026 28.175 0.884 27.045 0.212 26.9   0.377 26.733 0.285 26.953 0.441 26.141 0.212 98.993 -99.0 26.304 0.153 25.305 0.077 98.997 -99.0 98.997 -99.0 23.942 0.094 23.521 0.047 24.834 1.37     24.264 0.878   0    0.35 53.0144295 -27.7335914
  20746 3.018   32.898 68.977 28.026 0.259 25.97  0.902 26.006 0.192 25.538 0.196 25.92  0.264 25.608 0.412 98.992 -99.0 98.993 -99.0 26.149 0.319 25.405 0.207 25.43  0.402 25.224 0.163 25.22  0.434 24.871 0.276 23.834 0.506    25.116 1.8     0    0.35 53.2048675 -27.7334182
  21079 3.004   27.176 0.348  27.276 0.119 26.246 0.111 25.602 0.036 25.5   0.039 25.51  0.07  25.671 0.079 25.788 0.128 25.712 0.045 25.703 0.038 25.513 0.04  25.671 0.405 25.354 0.09  24.96  0.332 25.17  0.292 27.247 8.188    99.0   -99.0   0    0.14 53.1722169 -27.7305771
  21443 3.096   27.786 0.659  28.149 0.231 26.636 0.111 25.765 0.043 25.649 0.069 25.712 0.08  25.544 0.072 25.885 0.104 98.993 -99.0 25.858 0.066 25.452 0.058 24.711 0.511 98.997 -99.0 25.021 0.269 24.837 0.146 24.995 1.19     23.461 0.322   0    0.01 53.1004965 -27.7272289
  21896 3.015   29.084 2.077  28.67  0.414 26.742 0.265 25.996 0.085 25.736 0.141 25.774 0.155 25.77  0.166 25.558 0.136 98.993 -99.0 25.562 0.072 25.034 0.055 24.584 0.344 24.95  0.125 26.322 1.351 24.016 0.096 99.0   -99.0    99.0   -99.0   0    0.35 53.1737767 -27.7236735
  22110 3.074   28.948 1.855  28.846 0.556 27.48  0.342 26.65  0.124 26.634 0.223 26.506 0.226 26.088 0.176 26.219 0.138 98.993 -99.0 26.039 0.073 25.951 0.083 26.649 1.172 98.997 -99.0 25.778 0.407 25.395 0.192 25.293 1.498    99.0   -99.0   0    0.35 53.0367531 -27.7217434
  22257 3.098   98.967 -99.0  98.967 -99.0 27.731 0.63  27.328 0.312 26.955 0.446 26.273 0.194 26.581 0.393 26.343 0.214 98.993 -99.0 25.981 0.097 25.366 0.07  98.997 -99.0 98.997 -99.0 98.999 -99.0 99.0   -99.0 24.989 1.279    24.506 0.897   0    0.35 53.0402198 -27.7205934
  22276 3.003   98.967 -99.0  98.967 -99.0 27.757 0.711 25.97  0.099 25.374 0.116 25.351 0.099 25.064 0.106 25.076 0.084 98.993 -99.0 24.362 0.029 23.763 0.021 23.387 0.101 98.997 -99.0 22.274 0.015 21.918 0.007 21.598 0.048    21.487 0.047   0    0.0  53.0806431 -27.7208082
  22426 3.034   27.115 0.385  27.044 0.107 25.999 0.127 24.883 0.035 24.569 0.047 24.59  0.053 24.411 0.052 24.54  0.05  98.993 -99.0 24.385 0.026 24.318 0.03  24.078 0.223 23.625 0.094 22.859 0.055 23.601 0.074 99.0   -99.0    23.879 0.459   0    0.0  53.1684033 -27.7194261
  22563 3.041   27.351 0.401  27.089 0.112 26.292 0.132 25.27  0.035 25.268 0.068 25.328 0.066 25.238 0.082 25.481 0.059 98.993 -99.0 25.378 0.033 25.225 0.036 25.681 0.464 98.997 -99.0 25.653 0.328 25.259 0.155 25.792 2.265    99.0   -99.0   0    0.16 53.0387624 -27.7178408
  22569 3.087   30.098 5.73   28.225 0.313 25.79  0.127 25.095 0.037 24.97  0.066 24.889 0.078 24.891 0.067 24.864 0.076 98.993 -99.0 24.915 0.052 24.573 0.047 25.405 0.926 98.997 -99.0 24.276 0.231 24.355 0.171 24.154 0.604    24.936 1.331   0    0.58 53.1305149 -27.7179579
  22584 3.095   98.967 -99.0  98.967 -99.0 27.049 0.255 26.361 0.088 26.038 0.135 26.054 0.219 25.979 0.142 25.702 0.103 98.993 -99.0 25.518 0.054 24.911 0.038 24.357 0.146 98.997 -99.0 23.843 0.072 23.586 0.043 23.53  0.387    23.594 0.436   0    0.01 53.0065342 -27.7176842
  22753 3.1     28.239 0.942  28.49  0.409 26.499 0.566 25.319 0.049 25.069 0.097 25.174 0.159 24.837 0.09  25.073 0.129 98.993 -99.0 24.959 0.059 24.407 0.043 98.997 -99.0 24.309 0.123 23.778 0.116 23.749 0.104 24.24  0.722    24.202 0.762   0    0.0  53.1998998 -27.716559 
  22759 3.063   28.216 0.958  29.013 0.555 27.072 0.258 26.212 0.08  26.085 0.137 25.68  0.209 25.927 0.137 25.799 0.097 98.993 -99.0 25.575 0.052 25.267 0.049 25.474 0.718 98.997 -99.0 24.76  0.346 24.425 0.168 25.571 2.11     99.0   -99.0   0    0.46 53.1586134 -27.7163648
  22940 3.021   27.666 0.553  27.644 0.179 26.268 0.132 25.692 0.05  25.634 0.095 25.519 0.096 25.632 0.119 25.752 0.096 98.993 -99.0 25.746 0.062 25.384 0.056 25.012 0.347 98.997 -99.0 24.801 0.144 25.21  0.134 25.079 1.105    24.974 1.099   0    0.08 53.0516737 -27.7088661
  22985 3.014   98.967 -99.0  28.722 0.469 28.017 0.695 27.325 0.299 27.056 0.523 26.825 0.284 26.651 0.383 26.762 0.398 98.993 -99.0 26.251 0.166 25.545 0.107 24.909 0.315 98.997 -99.0 23.691 0.087 23.264 0.044 22.381 0.187    22.722 0.284   0    0.35 52.9987634 -27.7075773
  23249 3.042   27.385 0.455  27.485 0.172 25.674 0.126 24.286 0.026 23.926 0.039 23.873 0.033 23.829 0.045 23.75  0.025 98.993 -99.0 23.481 0.012 23.075 0.01  23.153 0.066 98.997 -99.0 22.415 0.019 22.325 0.012 22.117 0.087    22.132 0.092   0    0.01 53.0404791 -27.7107155
  23403 3.005   28.5   1.24   27.893 0.186 26.729 0.205 25.672 0.056 25.378 0.084 25.395 0.082 25.407 0.102 25.437 0.087 98.993 -99.0 25.294 0.047 24.849 0.039 24.727 0.225 98.997 -99.0 24.25  0.099 24.276 0.074 24.671 0.921    23.532 0.339   0    0.0  53.017292  -27.710398 
  23526 3.069   28.333 0.994  30.849 2.434 28.329 0.568 26.818 0.111 26.592 0.186 26.687 0.188 26.284 0.176 26.33  0.144 98.993 -99.0 26.182 0.083 25.698 0.067 25.703 0.626 98.997 -99.0 24.911 0.19  25.027 0.131 24.131 0.517    24.576 0.849   0    0.08 53.0611952 -27.7134727
  23689 3.06    27.878 0.955  31.185 4.955 27.848 0.612 26.223 0.099 26.157 0.191 25.958 0.134 25.768 0.17  25.553 0.113 98.993 -99.0 25.114 0.05  24.604 0.04  24.293 0.244 98.997 -99.0 23.17  0.066 22.811 0.03  22.361 0.144    22.384 0.18    0    0.0  53.0457766 -27.7141688
  23864 3.014   27.233 0.367  27.979 0.174 26.049 0.16  25.011 0.051 24.779 0.093 24.966 0.076 24.875 0.107 24.797 0.14  98.993 -99.0 24.572 0.073 24.338 0.07  98.997 -99.0 98.997 -99.0 23.627 0.062 23.773 0.053 23.756 0.616    99.0   -99.0   0    0.0  52.9946043 -27.7143351
  24133 3.012   28.052 0.916  28.04  0.295 26.453 0.193 25.058 0.037 24.7   0.055 24.647 0.072 24.714 0.064 24.707 0.108 98.993 -99.0 24.261 0.048 23.61  0.032 23.458 0.115 98.997 -99.0 22.707 0.04  22.658 0.027 22.25  0.093    22.412 0.108   0    0.0  53.1191775 -27.6729982
  24167 3.061   30.064 5.886  28.355 0.323 27.127 0.328 25.835 0.073 25.655 0.13  25.661 0.214 25.583 0.137 25.733 0.131 98.993 -99.0 25.542 0.073 25.046 0.058 24.736 0.269 98.997 -99.0 24.571 0.338 24.485 0.22  23.96  0.603    24.648 1.24    0    0.03 53.1666665 -27.6686186
  24211 3.0762  26.532 0.216  26.2   0.056 24.605 0.05  23.85  0.014 23.69  0.029 23.733 0.037 23.754 0.031 23.819 0.043 98.993 -99.0 23.796 0.026 23.473 0.023 23.129 0.057 98.997 -99.0 23.363 0.08  23.574 0.068 23.225 0.248    23.876 0.447   0    0.0  53.1317224 -27.6690133
  24222 3.042   27.191 0.409  28.059 0.304 26.373 0.187 25.23  0.043 25.025 0.074 24.917 0.095 24.975 0.081 24.847 0.145 98.993 -99.0 24.62  0.076 24.16  0.065 24.221 0.179 98.997 -99.0 23.774 0.139 23.806 0.1   23.754 0.453    23.66  0.418   0    0.01 53.1244462 -27.6702938
  24809 3.042   27.098 0.356  26.892 0.103 25.031 0.064 24.198 0.019 23.906 0.029 23.883 0.041 23.912 0.034 23.976 0.032 98.993 -99.0 23.953 0.02  23.647 0.018 23.25  0.148 98.997 -99.0 23.219 0.072 23.11  0.045 23.069 0.202    22.934 0.186   0    0.0  53.1234419 -27.6827284
  25026 3.069   98.967 -99.0  28.614 0.454 26.677 0.335 25.61  0.097 25.36  0.134 25.198 0.216 25.402 0.165 25.414 0.155 98.993 -99.0 25.188 0.085 24.778 0.072 24.106 0.283 98.997 -99.0 98.999 -99.0 99.0   -99.0 99.0   -99.0    99.0   -99.0   0    0.36 53.1380735 -27.688816 
  25138 3.037   27.721 0.825  28.292 0.373 26.734 0.299 25.99  0.104 25.973 0.179 25.635 0.15  25.878 0.2   26.126 0.181 98.993 -99.0 25.739 0.086 25.368 0.077 24.829 0.537 98.997 -99.0 24.708 0.401 24.92  0.313 26.743 7.302    99.0   -99.0   0    0.35 53.1076734 -27.6900579
  25183 3.057   28.558 1.729  28.029 0.265 26.807 0.2   26.117 0.071 26.077 0.118 26.063 0.129 26.024 0.136 26.24  0.116 98.993 -99.0 26.025 0.063 25.937 0.073 98.997 -99.0 98.997 -99.0 26.304 1.822 25.701 0.659 25.625 2.619    24.148 0.766   0    0.36 53.1079539 -27.6900352
  25361 3.022   26.278 0.161  26.039 0.059 25.319 0.108 24.632 0.037 24.274 0.054 24.275 0.052 24.105 0.061 24.095 0.105 98.993 -99.0 24.128 0.066 23.942 0.075 24.542 0.214 98.997 -99.0 23.54  0.046 23.796 0.04  29.85  100.77   26.056 3.165   0    0.0  53.0400753 -27.6921873
  25772 3.044   28.053 0.814  27.406 0.131 25.626 0.087 24.708 0.039 24.589 0.057 24.617 0.093 24.667 0.079 24.736 0.055 98.993 -99.0 24.578 0.031 24.189 0.028 23.81  0.152 98.997 -99.0 23.729 0.113 23.544 0.062 24.066 0.473    24.079 0.514   0    0.0  53.1618727 -27.6955649
  25931 3.08    27.478 0.738  29.187 0.732 27.305 0.425 25.822 0.111 25.326 0.124 25.046 0.152 25.315 0.146 25.269 0.105 98.993 -99.0 24.98  0.053 24.318 0.036 24.157 0.259 98.997 -99.0 23.487 0.19  22.834 0.063 22.366 0.164    22.551 0.222   0    0.09 53.1592839 -27.6963462
  26311 3.019   28.06  0.841  27.535 0.15  26.224 0.138 25.637 0.048 25.784 0.103 25.793 0.093 25.666 0.113 25.895 0.121 98.993 -99.0 25.718 0.068 25.542 0.072 25.588 0.677 98.997 -99.0 25.399 0.278 25.267 0.151 24.443 0.588    28.088 18.453  0    0.08 53.0874372 -27.7010157
  26480 3.05    27.626 0.798  98.967 -99.0 28.129 1.023 26.456 0.143 26.29  0.218 25.784 0.178 26.086 0.219 25.796 0.142 98.993 -99.0 25.371 0.065 24.693 0.043 24.795 0.546 98.997 -99.0 23.179 0.113 22.753 0.05  22.476 0.17     22.306 0.16    0    0.35 53.1121774 -27.701813 
  26730 3.047   28.792 1.688  28.745 0.383 27.324 0.258 26.451 0.095 26.334 0.186 26.52  0.144 26.394 0.209 26.368 0.177 98.993 -99.0 26.352 0.103 25.999 0.091 25.879 0.562 98.997 -99.0 25.627 0.352 25.527 0.237 24.803 1.18     24.531 0.977   0    0.35 53.0073715 -27.7050758
