# ID      zz                   CTIO_U             eCTIO_U            VIMOS_U            eVIMOS_U           ACS_F435W          eACS_F435W         ACS_F606W          eACS_F606W         ACS_F775W          eACS_F775W         ACS_F814W          eACS_F814W         ACS_F850LP         eACS_F850LP        WFC3_F098M   eWFC3_F098M   WFC3_F105W         eWFC3_F105W        WFC3_F125W         eWFC3_F125W        WFC3_F160W         eWFC3_F160W        ISAAC_KS           eISAAC_KS          HAWKI_KS           eHAWKI_KS          IRAC_CH1           eIRAC_CH1          IRAC_CH2           eIRAC_CH2          IRAC_CH3           eIRAC_CH3          IRAC_CH4           eIRAC_CH4          f24            ef24           f70            ef70           f100           ef100          f160           ef160          f250           ef250          flg1   flg2  
  274     1.072                7.08598126917E-7   1.69687178332E-8   7.37904230129E-7   1.01945236821E-8   7.67008187694E-7   2.75511852593E-8   1.17057703596E-6   1.72502606925E-8   2.11836113525E-6   3.90216541728E-8   2.42549285711E-6   5.13811140027E-8   3.44191388268E-6   4.75517975858E-8   -99.0        -99.0         -99.0              -99.0              4.67304539632E-6   3.87363048064E-8   5.4651237452E-6    5.03356498682E-8   -99.0              -99.0              -99.0              -99.0              1.04423921854E-5   1.05795784958E-7   8.49571627156E-6   7.04235947083E-8   6.20011864209E-6   3.99736421282E-7   4.95678406594E-6   3.9262154822E-7    -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  300     1.0893               4.60892880981E-7   1.78289172972E-8   5.03964563613E-7   8.81920181595E-9   4.69461519383E-7   2.37814521178E-8   7.90678628E-7      1.60213224352E-8   1.5819763986E-6    3.93404609472E-8   1.78978143941E-6   4.45081398707E-8   2.63269167422E-6   4.36463755452E-8   -99.0        -99.0         -99.0              -99.0              4.08131391597E-6   3.7590290331E-8    4.92946741312E-6   4.54020727274E-8   -99.0              -99.0              -99.0              -99.0              1.10662378398E-5   1.01923817142E-7   8.83079900419E-6   7.32011981266E-8   6.14893638513E-6   3.68119680712E-7   5.72796030986E-6   3.64019602228E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.03  
  344     1.053                6.00343758733E-7   1.7693985146E-8    6.44465984742E-7   1.0090776832E-8    6.82338694142E-7   2.89090294613E-8   7.57879220916E-7   1.32626186124E-8   1.10052522142E-6   3.44631203826E-8   1.31825673856E-6   5.82796476468E-8   1.74260918983E-6   3.37050499246E-8   -99.0        -99.0         1.74904103997E-6   4.18840845869E-8   2.01372424986E-6   3.33847543618E-8   2.1379620895E-6    4.33209888027E-8   -99.0              -99.0              -99.0              -99.0              3.00054400244E-6   1.13307729411E-7   2.16770410482E-6   8.18576997876E-8   1.35020589566E-6   4.14114000514E-7   1.40993794936E-6   3.98670458401E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  407     1.03                 4.6302026586E-8    1.90626468872E-8   1.40216783371E-8   5.69526936612E-9   5.68591024699E-8   1.57107506098E-8   1.03086074006E-7   9.96930720669E-9   3.40721861659E-7   2.38500488172E-8   4.02902535083E-7   2.41206516515E-8   6.60693448008E-7   2.67749307658E-8   -99.0        -99.0         8.87973489326E-7   3.59855675431E-8   1.12512299297E-6   2.69431908864E-8   1.40734313832E-6   3.24052733102E-8   1.85353162341E-6   1.19501599993E-7   -99.0              -99.0              2.4797048988E-6    1.3703355684E-7    1.93196831702E-6   9.25292460955E-8   4.91586559157E-7   4.33298931224E-7   5.75970181255E-7   4.4507955059E-7    -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.01  
  482     1.0490000000000002   2.52115763081E-7   1.81121615307E-8   2.20394118181E-7   7.51064792439E-9   2.73400937851E-7   2.66920263736E-8   4.54569193585E-7   1.75842953812E-8   1.11173172728E-6   3.99337676813E-8   1.39444053887E-6   4.10984703728E-8   2.08161304092E-6   4.40964386481E-8   -99.0        -99.0         2.89467626418E-6   5.86540980514E-8   4.1686938347E-6    4.6074106949E-8    5.98136079781E-6   5.50903688355E-8   9.91744955231E-6   1.37014628998E-7   -99.0              -99.0              1.84671552399E-5   1.02053271277E-7   1.57906497273E-5   7.27186293415E-8   1.42823608002E-5   3.68327131998E-7   1.3341356829E-5    3.68635312258E-7   3.2211865E-5   7.2756112E-6   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.02  
  499     1.002                2.65216170551E-8   1.81250655257E-8   2.95120922667E-8   4.94705875055E-9   -99.0              -99.0              2.59896242111E-7   2.92035407851E-8   -99.0              -99.0              1.30737447016E-6   3.37158188187E-8   2.19785987278E-6   1.01215187591E-7   -99.0        -99.0         -99.0              -99.0              3.75664364614E-6   6.2279939947E-8    5.0211130547E-6    5.0870776308E-8    6.69267906936E-6   1.23283704458E-7   -99.0              -99.0              9.99079389984E-6   1.38027918606E-7   7.56484440833E-6   9.05772294203E-8   5.49034961025E-6   4.95566288981E-7   3.27189983623E-6   5.27367945207E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.03  
  513     1.09                 2.35071511594E-7   1.73207090683E-8   2.30356250012E-7   8.69880382462E-9   2.37903044588E-7   2.19116801619E-8   4.83949449302E-7   1.38177513678E-8   9.87188301068E-7   3.27324249507E-8   1.1481536215E-6    3.27821455252E-8   1.67957731399E-6   3.55798011086E-8   -99.0        -99.0         2.15575796804E-6   4.5667108684E-8    2.69898207347E-6   3.48019609764E-8   3.48337315036E-6   4.49162733004E-8   4.81725903559E-6   1.1979520752E-7    -99.0              -99.0              9.05315591648E-6   1.08397441661E-7   7.48858907522E-6   8.27669451463E-8   5.55136777435E-6   3.63022905796E-7   5.23359365187E-6   3.61523841767E-7   5.2668981E-5   1.6749553E-5   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  528     1.0887               9.30679183163E-7   2.48584289567E-8   9.87188301068E-7   1.54569784489E-8   1.25892541179E-6   6.95707892733E-8   3.24489015661E-6   4.18411599368E-8   9.62941712972E-6   9.75592302833E-8   1.30376704714E-5   1.20081382699E-7   1.96607463388E-5   1.08649299448E-7   -99.0        -99.0         2.58226019063E-5   1.42700971708E-7   3.31741649695E-5   6.1109070185E-8    4.14190372622E-5   7.62966862129E-8   6.0422682205E-5    2.22605387718E-7   -99.0              -99.0              9.29822390585E-5   1.71279614056E-7   8.09095899178E-5   7.452048625E-8     5.6234132519E-5    4.14348400819E-7   5.04428945952E-5   4.18136605713E-7   3.0670259E-4   6.6859468E-6   0.0026191454   2.8798442E-4   0.0058223455   2.7606213E-4   0.0098062466   5.5348227E-4   0.013294118    0.0030490197   0      0.03  
  533     1.036                3.73938343643E-7   1.82537269424E-8   4.19952334664E-7   8.12259827875E-9   4.64729241676E-7   2.69659813289E-8   5.1333396438E-7    1.89119221458E-8   7.98730006111E-7   4.56107663739E-8   8.91250938134E-7   3.6118387787E-8    1.13657997475E-6   4.50136402379E-8   -99.0        -99.0         1.17923402065E-6   4.56168161754E-8   1.34029377342E-6   3.826814174E-8     1.44677168325E-6   4.79709347157E-8   1.31219989902E-6   1.34152465537E-7   -99.0              -99.0              1.84501541918E-6   1.17253218015E-7   1.31340903653E-6   7.74204433542E-8   9.18755601666E-7   4.07024692061E-7   -99.0              -99.0              -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  570     1.0907               5.2625956208E-7    1.59951979795E-8   5.65978586243E-7   8.34056867607E-9   5.73852132675E-7   2.32556432465E-8   6.46844664172E-7   1.25110850021E-8   8.85523314503E-7   2.60991076285E-8   9.1453430312E-7    2.61118338621E-8   1.02706989603E-6   2.83789899846E-8   -99.0        -99.0         1.20115761794E-6   3.4295518555E-8    1.20670190959E-6   2.44510976927E-8   1.23936720482E-6   3.08204832661E-8   1.17706379078E-6   9.86545391888E-8   -99.0              -99.0              1.94267432303E-6   1.16302496356E-7   1.40734313832E-6   8.42537106065E-8   1.6084219824E-6    3.98499664439E-7   1.03944137515E-6   3.94432685108E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
