# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 Av Av_std AGNFRAC_8_1000 
  18821         2.667   3.357   4.397   8.875   8.975   9.175   10.830   10.870   10.960 0.867   1.552   1.682 0.867   1.567   1.687 2.15 0.0400271092511 0.01102 
  1886         2.252   3.397   4.572   8.825   8.825   8.975   10.060   10.090   10.140 0.772   0.982   1.047 0.782   0.992   1.052 1.695 0.0339618904067 0.004533 
  19136         0.717   0.787   3.967   8.775   8.775   8.825   9.792   9.812   9.867 0.717   0.762   0.922 0.732   0.767   0.942 0.505 0.013821341288 0.01777 
  1918         0.657   1.047   2.532   9.475   9.525   9.525   10.480   10.540   10.570 0.017   0.292   0.377 0.027   0.307   0.387 0.645 0.0133369449275 0.07428 
  19422         1.647   2.327   2.997   8.925   8.975   9.225   10.330   10.410   10.470 1.002   1.122   1.182 1.012   1.132   1.197 1.215 0.0263139430721 0.003909 
  19508         4.342   4.342   4.342   8.725   8.725   8.725   10.800   10.810   10.810 1.897   1.912   1.912 1.902   1.917   1.917 3.9475 0.0761314021938 0.0001924 
  2013         1.492   1.577   2.257   9.025   9.025   9.075   9.842   9.872   9.927 0.547   0.647   0.717 0.552   0.647   0.717 0.4475 0.0134363313445 0.02168 
  20168         0.552   1.112   2.202   8.625   8.725   8.925   9.957   10.010   10.100 0.957   1.022   1.167 0.967   1.027   1.177 0.22 0.00856573843869 0.03648 
  2046         0.957   1.922   2.552   8.625   8.625   8.925   9.902   9.922   9.982 0.727   1.027   1.047 0.822   1.032   1.052 0.605 0.0143652358143 0.009132 
  20639         2.037   2.437   3.072   8.925   9.025   9.125   10.570   10.630   10.680 1.292   1.412   1.437 1.302   1.412   1.442 1.8425 0.0376065473023 0.002554 
  2096         1.882   3.602   4.087   8.725   8.775   8.975   9.417   9.432   9.492 0.342   0.402   0.447 0.347   0.407   0.457 1.1725 0.0259612302289 0.01383 
  21038         1.647   1.682   3.057   8.825   8.925   9.225   10.330   10.390   10.500 1.062   1.087   1.242 1.062   1.092   1.257 1.1675 0.0241660112555 0.004434 
  21329         3.237   3.237   4.487   8.675   8.875   9.025   9.887   9.922   9.962 0.157   0.382   0.417 0.167   0.817   1.037 1.935 0.0362185487699 0.01112 
  21708         4.507   4.507   4.507   9.075   9.075   9.075   10.680   10.680   10.680 0.432   0.432   0.432 1.902   1.902   1.902 2.485 0.0458210047358 0.0 
  22059         2.642   2.642   2.642   9.275   9.275   9.275   10.770   10.780   10.790 0.372   0.382   0.392 0.387   0.397   0.407 1.675 0.0315611691799 0.002818 
  22173         0.062   0.272   1.597   9.225   9.325   9.525   10.020   10.120   10.270 0.097   0.357   0.587 0.102   0.367   0.587 0.01 0.0012431713478 0.8024 
  22371         2.397   2.447   3.082   8.575   8.625   8.775   10.830   10.870   10.910 1.857   1.972   1.982 1.867   2.067   2.092 1.8675 0.0377539733008 0.002225 
  22385         1.372   2.367   3.172   8.575   8.825   9.275   10.110   10.160   10.280 0.442   1.047   1.332 0.802   1.062   1.342 1.19 0.0257545816312 0.002982 
  22834         1.637   1.637   1.637   8.775   8.775   8.775   10.530   10.530   10.540 0.942   0.947   0.952 0.942   0.947   0.952 1.1575 0.0226288637585 0.01878 
  22857         1.352   2.002   3.882   8.825   8.925   9.125   9.872   9.907   9.987 0.632   0.697   0.767 0.642   0.707   0.782 0.3725 0.0113251754953 0.02929 
  23441         2.167   2.842   4.142   9.075   9.225   9.325   10.320   10.380   10.440 0.448   0.842   1.122 0.433   0.847   1.127 1.695 0.0312544632813 0.009404 
  23761         3.257   3.257   3.257   9.325   9.325   9.325   10.630   10.640   10.640 0.222   0.227   0.232 0.237   0.242   0.247 1.215 0.0232829739295 0.001989 
  23855         2.397   2.477   3.287   8.825   8.875   8.975   10.010   10.030   10.070 0.707   0.792   1.007 0.712   0.802   1.017 1.8 0.0373847091068 0.007931 
  23927         0.777   1.177   2.137   9.025   9.175   9.275   10.120   10.270   10.370 0.068   0.247   0.377 0.058   0.257   0.382 0.99 0.0189792379984 0.02348 
  24354         1.992   1.992   2.792   8.875   9.025   9.025   10.420   10.510   10.520 1.247   1.257   1.382 1.252   1.262   1.382 1.6025 0.0324858626944 0.000811 
