# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 Av Av_std AGNFRAC_8_1000 
  15039         0.087   0.087   0.087   8.475   8.475   8.475   9.127   9.142   9.157 0.462   0.472   0.487 0.467   0.477   0.492 0.045 0.00150382013552 0.0 
  25138         0.682   1.227   1.227   8.225   8.475   8.475   9.092   9.292   9.317 0.627   0.657   0.687 0.632   0.662   0.692 0.245 0.00631323015579 0.0 
  15428         0.382   0.417   0.417   8.225   8.225   8.325   9.157   9.167   9.177 0.687   0.757   0.782 0.687   0.757   0.782 0.1525 0.00434090716326 0.0 
  10578         4.492   4.492   4.492   8.975   8.975   8.975   11.400   11.400   11.410 1.987   1.992   1.997 1.997   2.002   2.007 1.38 0.0266543261029 0.6821 
  25931         0.782   2.317   3.382   8.375   8.625   8.825   9.892   10.140   10.220 1.112   1.302   1.432 1.117   1.312   1.437 0.7 0.0177110664557 0.1326 
  23403         0.307   0.407   2.987   7.975   8.425   8.475   9.357   9.417   9.477 0.777   0.842   1.147 0.812   0.992   1.162 0.09 0.00412338150066 0.999 
  2983         0.072   0.072   0.727   7.875   8.175   8.175   8.472   8.582   8.872 0.427   0.467   0.637 0.417   0.462   0.637 0.03 0.00153622914957 0.9995 
  27261         0.907   1.512   2.947   8.275   8.425   8.575   9.247   9.392   9.502 0.692   0.752   0.882 0.707   0.762   0.887 0.2425 0.00700586183135 0.096 
  1859         0.567   0.992   2.022   8.075   8.275   8.425   9.132   9.227   9.312 0.582   0.747   0.887 0.647   0.787   0.907 0.34 0.00838877821855 0.0 
  9551         0.517   0.517   0.517   7.925   7.925   7.925   8.937   8.947   8.952 0.812   0.822   0.827 0.817   0.827   0.832 0.4725 0.00934959892188 0.0 
  12230         0.937   1.082   1.082   7.775   7.775   7.925   8.867   8.907   8.997 0.797   0.872   0.927 0.807   0.882   0.937 0.2275 0.00826473835037 0.01738 
  3518         1.347   3.392   4.877   8.625   8.725   8.775   9.997   10.020   10.060 1.062   1.132   1.222 1.067   1.137   1.227 0.3325 0.0109067353044 0.0 
  4277         0.237   2.002   4.032   7.825   8.375   8.475   8.727   8.907   9.087 0.287   0.512   0.742 0.297   0.517   0.752 0.425 0.00972374799139 0.9983 
  16877         1.197   1.197   1.772   8.125   8.125   8.275   9.727   9.752   9.817 1.372   1.427   1.442 1.377   1.437   1.452 0.495 0.0135747007333 0.0338 
  1284         0.302   0.302   0.322   7.775   7.925   8.075   8.872   8.932   9.087 0.777   0.807   0.852 0.777   0.807   0.852 0.09 0.00362334099969 0.1686 
  1904         0.242   0.262   1.297   8.125   8.375   8.575   9.612   9.687   9.852 1.042   1.182   1.322 1.052   1.152   1.327 0.085 0.00282564594385 0.03909 
  2202         0.532   0.532   0.532   8.725   8.725   8.725   8.622   8.632   8.647 1.157   1.167   1.182 0.492   0.502   0.517 0.535 0.0122509948576 0.2842 
  15639         3.857   3.962   4.807   8.325   8.575   8.925   11.370   11.390   11.420 2.207   2.617   2.862 2.222   2.622   2.862 3.9225 0.0753037854294 0.0002789 
  1280         0.517   2.797   4.907   7.975   8.125   8.525   9.402   9.497   9.587 0.867   1.157   1.247 1.032   1.182   1.252 0.5025 0.0111980623324 0.05415 
  489         1.067   1.112   2.312   8.525   8.575   8.625   10.340   10.370   10.430 1.547   1.582   1.672 1.557   1.592   1.682 0.3925 0.0110674251748 0.009724 
  18533         1.172   2.117   3.767   7.925   8.325   8.675   9.532   9.662   9.772 0.882   1.222   1.437 0.912   1.227   1.447 1.14 0.0259340991746 0.02371 
  17199         0.587   0.587   0.587   8.025   8.025   8.075   8.997   9.007   9.087 0.767   0.787   0.797 0.782   0.802   0.812 0.315 0.00776411456639 0.9979 
  1860         0.122   0.122   0.122   8.625   8.625   8.625   9.597   9.612   9.627 0.227   0.242   0.257 1.302   1.317   1.332 0.03 0.0012539936204 0.1688 
  7545         2.692   4.292   5.092   8.075   8.075   8.275   9.522   9.627   9.667 -0.228   1.197   1.377 1.372   1.417   1.557 0.165 0.00325662401883 0.4428 
