# ID      tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8   Av        Av_std             AGNFRAC_8_1000  
  1872    1.242     3.382     3.512     9.025      9.125      9.225      9.802     9.817     9.852     0.127     0.227     0.567     0.217     0.247     0.602     0.6175    0.0137609193007    0.006374        
  1886    3.387     4.142     4.142     8.775      8.775      8.875      10.11     10.11     10.13     1.002     1.087     1.092     1.007     1.092     1.097     1.845     0.0363955611991    0.003811        
  1918    0.832     1.032     1.742     9.325      9.475      9.575      10.46     10.56     10.6      0.117     0.217     0.542     0.132     0.217     0.547     1.1675    0.0221502477413    0.03221         
  2013    1.377     2.307     2.937     8.875      8.875      9.025      9.802     9.822     9.852     0.577     0.607     0.627     0.582     0.617     0.927     0.50125   0.0136340346193    0.016           
  2046    1.052     1.537     4.222     8.575      8.775      8.875      9.892     9.942     9.967     0.682     0.982     1.142     0.817     0.992     1.147     0.6475    0.0148099831195    0.005446        
  2068    1.217     1.217     1.217     8.975      8.975      8.975      9.042     9.042     9.042     -0.163    -0.163    -0.163    -0.153    -0.153    -0.153    0.19      0.00492071895154   0.15            
  2096    2.212     2.297     3.917     8.725      8.825      8.975      9.417     9.437     9.532     0.062     0.327     0.492     0.067     0.342     0.507     1.19      0.0257568515157    0.01716         
  2100    1.257     1.927     2.122     8.575      8.575      8.575      9.117     9.132     9.147     0.337     0.362     0.432     0.337     0.367     0.432     0.2275    0.0075989653901    0.01784         
  2102    0.272     1.022     1.022     8.525      8.525      9.075      9.212     9.212     9.392     0.172     0.502     0.502     0.172     0.507     0.507     0.39      0.0100085513437    0.0             
  2149    0.137     0.137     0.137     8.975      8.975      8.975      8.907     8.927     8.927     0.147     0.167     0.167     -0.078    -0.058    -0.058    0.0325    0.00185245782678   0.0             
  2228    1.987     2.677     3.072     9.025      9.225      9.275      10.53     10.56     10.65     0.992     1.112     1.152     1.002     1.117     1.152     2.3475    0.0457455506033    7.946E-4        
  2583    0.687     0.687     2.292     8.725      8.875      8.875      9.642     9.797     9.817     0.732     0.817     0.832     0.732     0.927     0.947     0.655     0.0127620962228    0.006438        
  2697    0.972     1.147     3.882     8.725      8.925      8.975      9.962     9.987     10.03     0.707     0.822     1.057     0.717     0.832     1.057     0.645     0.0167491275892    0.002549        
  2784    0.397     0.482     0.482     8.725      8.775      8.775      9.392     9.407     9.412     0.427     0.432     0.477     0.437     0.442     0.482     0.1025    0.0046757352363    0.004569        
  2793    2.427     3.322     3.702     8.825      8.975      9.175      10.56     10.62     10.73     0.712     0.837     1.067     0.722     0.842     1.072     1.6       0.0307250728233    0.01049         
  2862    1.427     1.427     1.427     9.575      9.575      9.575      10.67     10.68     10.69     -0.303    -0.298    -0.288    -0.293    -0.288    -0.278    0.6925    0.012948678504     0.01157         
  2903    1.687     2.177     2.177     8.775      8.775      8.875      9.557     9.572     9.597     0.182     0.197     0.327     0.192     0.207     0.342     0.3775    0.01029594459      0.06327         
  2921    2.322     2.707     3.747     8.825      8.925      9.025      10.2      10.22     10.27     1.042     1.087     1.127     1.052     1.097     1.167     1.3875    0.0295161561691    0.007821        
  2976    0.977     0.977     0.977     8.675      8.675      8.675      9.792     9.822     9.837     0.867     0.897     0.912     0.887     0.917     0.932     0.1325    0.00671825870297   0.04845         
  3315    0.707     0.707     0.707     8.375      8.375      8.375      8.977     8.987     8.997     0.412     0.422     0.432     0.412     0.422     0.432     0.2225    0.00702772367129   0.0325          
  3336    0.002     0.002     0.002     7.075      7.075      7.075      7.002     7.002     7.002     -2.998    -2.998    -2.998    -2.998    -2.998    -2.998    0.13      0.00395253083479   0.0             
  3371    1.762     1.762     1.762     9.225      9.225      9.225      10.21     10.21     10.22     0.222     0.222     0.232     0.222     0.222     0.232     0.9825    0.019758716431     0.0             
  3404    1.042     1.172     3.192     8.825      8.925      9.425      10.03     10.09     10.34     -0.363    0.927     0.997     0.932     0.997     1.022     0.4575    0.0117977487259    0.01249         
  3412    1.917     1.917     1.917     8.975      8.975      8.975      9.037     9.037     9.037     -0.183    -0.183    -0.183    -0.173    -0.173    -0.173    0.1925    0.00537377893107   0.0             
  3432    0.797     2.592     2.912     8.125      8.575      8.675      8.892     8.937     8.972     0.072     0.602     0.782     0.077     0.562     0.587     1.0425    0.0263809116598    0.001192        
  3451    0.242     1.942     1.942     8.275      8.325      8.675      8.787     8.812     8.882     -0.018    0.292     0.327     -0.013    0.302     0.332     0.31      0.00861187552163   0.01491         
  3458    0.182     3.167     3.167     8.675      9.275      9.275      9.377     9.517     9.547     0.347     0.942     0.967     0.347     0.942     0.967     0.7275    0.0166134125032    0.001667        
  3591    0.907     1.702     3.982     8.975      9.075      9.575      9.042     9.192     9.447     0.247     0.577     0.872     0.327     0.557     0.592     0.92      0.024894093677     0.002617        
  3631    0.337     1.057     1.362     8.275      9.025      9.275      9.142     9.192     9.312     0.392     0.767     0.842     0.402     0.767     0.842     0.53      0.0140802512407    0.001379        
  3647    3.547     3.547     3.547     9.325      9.325      9.325      11.13     11.14     11.15     0.067     0.077     0.087     0.082     0.092     0.102     0.97      0.0181058409084    0.0             
  3653    0.322     0.322     0.322     8.725      8.725      8.725      9.177     9.192     9.202     0.297     0.302     0.322     0.297     0.302     0.322     0.185     0.00449476362004   0.009248        
  3683    0.852     1.797     3.677     8.875      9.125      9.275      10.23     10.29     10.35     0.547     1.017     1.152     0.552     1.017     1.162     1.0325    0.0237703276166    0.01214         
  3707    0.512     0.512     0.512     8.775      8.775      8.775      9.267     9.267     9.272     0.342     0.342     0.347     0.347     0.347     0.352     0.27      0.00632916068685   0.0             
  3767    2.117     2.117     2.117     9.325      9.325      9.325      10.61     10.61     10.62     -0.923    -0.918    -0.913    -0.908    -0.903    -0.898    0.375     0.00716263045256   0.005136        
  3811    0.342     0.342     1.457     8.275      9.025      9.025      8.807     8.837     8.857     0.382     0.417     0.432     -0.168    -0.138    0.387     0.63      0.0139117028073    0.03452         
  3871    0.352     0.352     0.467     8.375      8.425      8.425      8.867     8.917     8.922     0.287     0.292     0.302     0.292     0.297     0.302     0.1675    0.00441185618533   0.1429          
  4056    1.007     1.007     1.007     7.925      7.925      7.925      8.732     8.742     8.747     0.582     0.592     0.597     0.592     0.602     0.607     0.745     0.0159786858033    0.001396        
  4062    3.097     3.097     3.097     9.325      9.325      9.325      10.7      10.71     10.71     -0.388    -0.383    -0.378    -0.368    -0.363    -0.358    0.505     0.00955938674811   0.04214         
  4171    1.687     2.717     4.197     9.075      9.325      9.375      10.71     10.79     10.8      1.092     1.142     1.317     1.107     1.162     1.387     1.0425    0.0239797497902    0.01205         
  4187    0.812     1.347     1.347     8.275      8.275      8.625      9.642     9.652     9.777     1.017     1.037     1.212     1.032     1.047     1.147     0.5475    0.0119328077165    0.002373        
  4216    1.647     2.057     2.412     8.975      8.975      9.225      11.09     11.13     11.32     1.567     1.727     1.947     1.582     1.732     1.952     1.5825    0.0318833420457    7.03E-5         
  4348    2.642     3.277     3.957     8.825      9.025      9.175      10.5      10.55     10.62     1.097     1.312     1.552     1.112     1.312     1.552     2.3075    0.0460917397697    0.001156        
  4376    2.592     2.602     2.852     8.775      8.875      8.875      10.97     10.98     11.02     1.647     1.657     1.832     1.652     1.662     1.837     1.715     0.0340014058533    0.02781         
  4459    4.222     4.222     4.222     9.325      9.325      9.325      10.18     10.19     10.19     -0.753    -0.748    -0.743    -0.738    -0.733    -0.728    0.555     0.0105403166461    0.002436        
  4529    0.002     0.002     0.002     7.075      7.075      7.075      7.002     7.002     7.002     -2.998    -2.998    -2.998    -2.998    -2.998    -2.998    2.2225    0.0410695398075    0.0             
  4589    0.322     0.322     0.342     8.825      8.925      8.925      9.147     9.207     9.217     0.107     0.117     0.142     0.107     0.117     0.142     0.165     0.00421524317211   0.01497         
  4608    2.922     2.922     2.922     9.075      9.075      9.075      11.03     11.04     11.05     0.947     0.957     0.962     0.957     0.967     0.972     1.3725    0.0261665220272    0.002739        
  4644    2.147     2.212     3.192     9.025      9.275      9.275      9.722     9.837     9.852     0.167     0.372     0.487     0.177     0.372     0.487     2.4325    0.0468873266459    0.003941        
  5012    0.947     2.192     2.192     8.325      8.875      8.975      9.592     9.717     9.742     0.962     1.217     1.247     0.972     1.217     1.247     0.5875    0.0158921238354    0.004222        
  5068    4.937     4.937     4.937     9.075      9.075      9.075      10.02     10.02     10.02     -0.268    -0.268    -0.268    -0.268    -0.268    -0.268    2.1125    0.0392069623919    4.001E-4        
  5219    1.337     4.347     4.347     8.675      8.675      8.675      9.582     9.587     9.597     0.527     0.537     0.542     0.532     0.542     0.547     0.4375    0.0109501997699    0.1018          
  5568    0.982     1.082     3.152     8.775      8.975      9.075      9.362     9.387     9.457     0.062     0.182     0.272     0.072     0.187     0.287     0.3025    0.00914090258126   0.0             
  5789    0.107     0.107     0.107     8.875      8.875      8.875      9.317     9.322     9.327     -0.588    -0.583    -0.578    -0.583    -0.578    -0.573    0.0125    0.0010441623437    0.0             
  5845    0.242     0.242     0.242     9.225      9.225      9.225      9.102     9.127     9.142     -0.168    -0.143    -0.128    -0.168    -0.143    -0.128    1.25      0.032137573026     0.002521        
