# objname,logmass,logmass_errup,logmass_errdown,logsfr100,logsfr100_errup,logsfr100_errdown,logsfr10,logsfr10_errup,logsfr10_errdown,mwa,mwa_errup,mwa_errdown,av,av_errup,av_errdown
24809,9.98,0.08,0.10,1.24,0.13,0.09,1.28,0.08,0.05,0.85,0.20,0.39,0.05,0.05,0.04
25026,9.75,0.19,0.26,0.87,0.25,0.24,0.90,0.31,0.22,0.82,0.29,0.40,0.26,0.37,0.18
25138,9.45,0.16,0.20,0.60,0.26,0.21,0.61,0.23,0.21,0.83,0.29,0.38,0.20,0.26,0.13
25183,8.83,0.24,0.32,0.33,0.19,0.18,0.43,0.10,0.12,0.58,0.26,0.32,0.08,0.12,0.06
25361,9.62,0.17,0.44,1.25,0.18,0.25,1.32,0.18,0.11,0.52,0.25,0.36,0.23,0.24,0.13
25772,9.91,0.09,0.12,0.93,0.18,0.16,0.99,0.12,0.12,0.99,0.24,0.39,0.07,0.09,0.04
25931,10.34,0.09,0.13,1.59,0.20,0.28,1.58,0.25,0.27,0.71,0.27,0.27,0.97,0.38,0.31
26311,9.09,0.19,0.24,0.46,0.22,0.15,0.53,0.16,0.11,0.69,0.27,0.42,0.09,0.20,0.06
26480,10.44,0.10,0.16,1.72,0.20,0.19,1.74,0.21,0.16,0.73,0.31,0.22,1.30,0.51,0.25
26730,9.10,0.19,0.28,0.34,0.21,0.21,0.40,0.22,0.21,0.74,0.31,0.38,0.18,0.26,0.12
27261,9.63,0.10,0.14,0.55,0.26,0.20,0.55,0.25,0.16,0.93,0.23,0.29,0.12,0.24,0.09
27771,9.78,0.15,0.24,0.99,0.27,0.21,1.02,0.27,0.20,0.74,0.33,0.34,0.19,0.30,0.13
30371,8.93,0.60,0.26,0.87,0.66,0.21,1.13,0.67,0.21,0.08,0.29,0.06,0.97,0.79,0.44
