# ID_0    tau_v16_0   tau_v50_0   tau_v84_0   sSFR16_0   sSFR50_0   sSFR84_0   Mstar16_0   Mstar50_0   Mstar84_0   Ldust16_0   Ldust50_0   Ldust84_0   Mdust16_0   Mdust50_0   Mdust84_0   SFR16_0   SFR50_0   SFR84_0   age_M16_0   age_M50_0   age_M84_0   A_V16_0   A_V50_0   A_V84_0   Tdust16_0   Tdust50_0   Tdust84_0   tau_v16_agn   tau_v50_agn   tau_v84_agn   sSFR16_agn   sSFR50_agn   sSFR84_agn   Mstar16_agn   Mstar50_agn   Mstar84_agn   Ldust16_agn   Ldust50_agn   Ldust84_agn   Mdust16_agn   Mdust50_agn   Mdust84_agn   SFR16_agn   SFR50_agn   SFR84_agn   age_M16_agn   age_M50_agn   age_M84_agn   A_V16_agn   A_V50_agn   A_V84_agn   Tdust16_agn   Tdust50_agn   Tdust84_agn   agnf16_agn   agnf50_agn   agnf84_agn   Ldustsf16_agn   Ldustsf50_agn   Ldustsf84_agn   Ldustagn16_agn   Ldustagn50_agn   Ldustagn84_agn  
  4459    4.213       4.213       4.213       -10.82     -10.82     -10.82     10.05       10.05       10.05       10.02       10.02       10.02       6.002       6.307       6.962       -0.788    -0.788    -0.788    9.087       9.087       9.087       0.513     0.513     0.513     28.35       34.35       40.05       1.313         2.838         4.213         -10.92       -10.82       -10.77       10.04         10.1          10.19         9.882         10.03         10.19         6.002         6.252         6.927         -0.863      -0.793      -0.598      9.087         9.122         9.262         0.288       0.513       0.663       27.95         34.15         39.75         0.022        0.092        0.229        9.752           10.01           10.16           8.347            9.002            9.382           
  4529    0.013       0.013       0.013       -12.97     -12.97     -12.97     8.002       8.002       8.002       8.002       8.002       8.002       6.002       6.002       6.002       -1.998    -1.998    -1.998    5.502       5.502       5.502       0.013     0.013     0.013     10.05       10.05       10.05       10.838        10.838        10.838        -10.12       -10.12       -10.12       11.74         11.75         11.75         12.37         12.37         12.37         8.612         8.612         8.897         1.612       1.617       1.617       9.112         9.112         9.112         4.663       4.663       4.663       29.85         35.65         35.65         0.004        0.004        0.004        12.37           12.37           12.37           9.862            9.967            9.967           
  4589    1.563       3.313       3.313       -8.625     -8.325     -8.325     8.987       8.992       9.107       10.34       10.68       10.68       6.092       6.612       7.127       0.447     0.687     0.692     8.202       8.202       8.757       0.463     0.838     0.838     36.15       47.45       59.75       0.138         0.338         0.538         -9.325       -9.075       -8.875       9.132         9.227         9.292         9.582         9.912         10.08         6.002         6.002         6.372         -0.028      0.137       0.242       8.817         9.047         9.092         0.063       0.138       0.238       36.75         48.35         61.95         0.026        0.066        0.173        9.532           9.882           10.06           8.412            8.697            8.962           
  4608    6.638       7.588       8.938       -9.725     -9.725     -9.725     11.08       11.08       11.11       11.58       11.68       11.68       7.462       7.947       8.587       1.317     1.342     1.382     9.137       9.137       9.207       1.438     1.638     1.638     30.25       36.55       43.15       1.538         3.063         7.513         -10.52       -10.22       -9.875       10.94         11.06         11.14         11.02         11.25         11.58         6.962         7.522         8.162         0.527       0.822       1.247       9.137         9.317         9.407         0.588       0.963       1.438       30.35         36.35         42.55         0.011        0.059        0.189        10.93           11.22           11.57           9.457            10.05            10.36           
  4644    8.388       8.388       8.388       -9.125     -9.125     -9.125     9.822       9.822       9.827       10.82       10.82       10.82       6.442       6.932       7.462       0.717     0.717     0.717     9.262       9.262       9.262       1.663     1.663     1.663     34.85       43.85       54.95       2.088         3.938         7.463         -9.925       -9.525       -9.225       9.632         9.722         9.807         10.09         10.38         10.66         6.002         6.522         7.147         -0.238      0.187       0.522       9.047         9.232         9.387         0.688       1.163       1.738       33.05         40.25         48.95         0.013        0.119        0.285        9.942           10.33           10.64           8.657            9.452            9.572           
  5012    1.363       1.613       2.613       -8.325     -8.225     -8.125     9.447       9.502       9.607       11.18       11.27       11.44       6.672       7.222       7.747       1.257     1.322     1.357     7.982       8.122       8.277       0.613     0.638     0.938     36.95       48.95       62.75       0.213         0.363         1.463         -9.125       -8.875       -8.325       9.582         9.747         9.872         10.44         10.68         11.15         6.002         6.617         7.237         0.727       0.897       1.252       8.277         8.827         9.067         0.113       0.163       0.538       36.75         48.95         63.05         0.019        0.07         0.163        10.39           10.64           11.14           9.247            9.512            9.767           
  5068    3.413       3.413       5.163       -10.42     -10.27     -10.27     9.952       9.957       10.06       10.27       10.31       10.31       6.142       6.622       7.312       -0.363    -0.318    -0.313    9.132       9.132       9.367       1.413     1.513     1.513     27.25       33.85       39.35       2.138         4.063         9.263         -10.92       -10.67       -10.37       9.962         10.04         10.11         9.742         10.09         10.29         6.002         6.332         7.007         -0.948      -0.563      -0.338      9.322         9.457         9.532         0.563       1.063       1.438       28.25         34.55         40.05         0.005        0.027        0.102        9.682           10.07           10.28           8.002            8.487            8.927           
  5088    0.188       0.188       0.188       -8.625     -8.625     -8.625     9.592       9.592       9.592       10.59       10.59       10.59       6.002       6.537       7.062       0.957     0.957     0.957     8.602       8.602       8.602       0.038     0.038     0.038     37.35       50.15       64.25       0.188         0.188         0.513         -8.625       -8.625       -8.225       9.457         9.592         9.592         10.6          10.61         11.09         6.002         6.527         7.112         0.957       0.957       1.207       8.087         8.602         8.602         0.038       0.038       0.238       37.55         49.85         64.95         0.004        0.017        0.064        10.59           10.59           11.09           8.267            8.942            9.537           
  5219    3.438       4.838       5.088       -8.625     -8.525     -8.425     9.622       9.652       9.667       11.1        11.18       11.24       6.702       7.197       7.737       1.062     1.137     1.197     8.347       8.452       8.557       1.138     1.263     1.363     35.35       44.25       54.95       0.788         1.388         2.988         -9.275       -9.125       -8.875       9.637         9.692         9.757         10.44         10.63         10.85         6.087         6.632         7.197         0.427       0.602       0.822       8.712         8.912         9.077         0.263       0.463       0.763       35.35         45.25         57.15         0.049        0.126        0.239        10.32           10.55           10.82           9.417            9.702            9.947           
  5568    1.013       1.488       2.138       -9.175     -9.125     -9.025     9.382       9.397       9.442       10.16       10.19       10.37       6.002       6.307       6.832       0.222     0.242     0.392     8.897       8.937       9.002       0.388     0.413     0.613     35.25       44.95       57.15       0.463         1.038         2.038         -9.575       -9.275       -9.075       9.377         9.422         9.507         9.812         10.1          10.3          6.002         6.127         6.687         -0.088      0.142       0.302       8.897         9.027         9.257         0.188       0.363       0.563       35.05         45.05         57.25         0.007        0.027        0.083        9.772           10.08           10.29           8.002            8.507            8.877           
  5789    0.938       0.938       1.513       -9.575     -9.525     -9.475     9.412       9.442       9.452       9.792       9.857       9.872       6.002       6.002       6.547       -0.153    -0.028    -0.003    9.072       9.077       9.202       0.213     0.288     0.388     32.75       40.55       52.15       0.113         0.663         1.288         -10.12       -9.675       -9.475       9.297         9.412         9.537         8.887         9.642         9.962         6.002         6.002         6.382         -0.843      -0.248      -0.008      8.822         9.087         9.342         0.013       0.213       0.388       33.45         42.15         54.65         0.008        0.042        0.191        8.752           9.592           9.952           8.002            8.202            8.612           
  5845    1.963       2.963       3.763       -8.325     -7.975     -7.925     8.672       8.762       8.767       10.79       10.8        10.9        6.322       6.817       7.312       0.447     0.727     0.787     7.657       7.772       8.587       1.088     1.213     1.363     36.55       47.45       61.05       0.113         0.263         0.788         -9.625       -9.375       -9.075       8.932         9.037         9.157         9.322         9.542         9.862         6.002         6.002         6.027         -0.428      -0.303      -0.093      8.912         9.097         9.322         0.038       0.088       0.288       36.55         48.05         61.25         0.135        0.279        0.48         9.047           9.397           9.797           8.912            8.992            9.057           
  5950    1.888       1.888       1.888       -10.72     -10.72     -10.72     10.29       10.29       10.29       10.41       10.41       10.41       6.002       6.322       6.817       -0.413    -0.413    -0.413    9.537       9.537       9.537       0.388     0.388     0.388     37.35       49.95       63.85       1.888         1.888         1.888         -10.72       -10.72       -10.72       10.28         10.28         10.29         10.42         10.42         10.44         6.002         6.292         6.732         -0.423      -0.418      -0.418      9.537         9.537         9.537         0.388       0.388       0.388       37.75         51.15         64.95         0.009        0.03         0.063        10.41           10.41           10.41           8.342            8.887            9.232           
  6131    10.063      10.063      10.063      -8.225     -8.225     -8.225     12.09       12.09       12.09       13.98       13.98       13.98       9.637       10.112      10.652      3.847     3.847     3.847     8.127       8.127       8.127       3.388     3.388     3.388     34.15       42.55       53.15       1.538         1.538         1.538         -10.67       -10.67       -10.67       11.57         11.58         11.61         11.71         11.72         11.73         7.437         7.907         8.627         0.907       0.917       0.942       8.747         8.747         8.747         0.363       0.363       0.363       27.95         34.55         40.65         0.19         0.22         0.235        11.6            11.61           11.64           11.05            11.07            11.09           
  6141    0.913       1.538       1.813       -8.525     -8.325     -8.325     9.502       9.537       9.552       10.63       10.76       11.1        6.442       6.952       7.552       1.032     1.222     1.222     8.262       8.442       8.442       0.438     0.438     0.588     31.65       40.05       56.25       0.363         0.688         1.538         -9.075       -8.825       -8.325       9.532         9.642         9.757         10.53         10.65         10.87         6.132         6.677         7.222         0.717       0.877       1.212       8.442         8.687         8.977         0.138       0.263       0.438       34.75         45.85         61.15         0.004        0.015        0.038        10.52           10.63           10.87           8.297            8.832            9.202           
  6159    4.188       5.913       5.913       -8.225     -8.225     -7.975     9.347       9.487       9.487       11.28       11.28       11.38       6.872       7.362       7.857       1.287     1.287     1.322     7.882       8.087       8.087       1.038     1.038     1.063     35.65       45.55       57.85       0.488         0.863         1.788         -9.025       -8.775       -8.475       9.437         9.517         9.597         10.42         10.7          10.95         6.092         6.672         7.252         0.557       0.762       0.997       8.372         8.622         8.917         0.163       0.363       0.588       35.75         46.45         59.75         0.024        0.055        0.121        10.37           10.67           10.94           9.222            9.387            9.637           
  6221    3.863       6.013       13.638      -9.175     -9.075     -8.925     10.98       11.0        11.07       11.96       12.1        12.18       7.807       8.287       8.852       1.867     1.992     2.062     8.747       8.902       9.062       1.613     1.813     1.938     33.45       41.25       51.05       2.538         4.188         8.788         -9.575       -9.325       -9.175       10.96         11.02         11.08         11.62         11.83         12.02         7.492         8.002         8.602         1.442       1.702       1.882       8.967         9.107         9.247         1.113       1.438       1.713       32.85         40.05         48.75         0.006        0.025        0.072        11.59           11.82           12.01           9.677            10.22            10.54           
  6401    1.238       3.888       3.888       -11.22     -10.92     -10.92     10.62       10.62       10.62       10.11       10.45       10.45       6.137       6.627       7.282       -0.588    -0.283    -0.283    9.337       9.337       9.422       0.363     0.713     0.713     28.55       34.55       40.35       0.113         0.113         1.338         -11.67       -11.67       -11.22       10.55         10.56         10.61         9.512         9.897         10.24         6.002         6.002         6.502         -1.128      -1.118      -0.573      9.422         9.532         9.532         0.013       0.013       0.363       29.25         35.35         40.95         0.181        0.714        0.896        8.897           8.902           10.09           9.042            9.667            9.897           
  6665    2.038       3.238       3.238       -8.075     -8.025     -8.025     9.192       9.262       9.262       11.03       11.03       11.14       6.712       7.197       7.762       1.127     1.262     1.262     7.897       8.127       8.127       0.863     0.988     0.988     34.25       42.65       54.45       0.188         0.463         1.338         -9.025       -8.675       -8.325       9.232         9.352         9.487         10.09         10.42         10.84         6.002         6.372         7.012         0.447       0.652       1.002       8.267         8.632         8.922         0.088       0.213       0.513       35.65         47.85         62.95         0.008        0.031        0.094        10.05           10.41           10.84           8.537            8.922            9.132           
  7011    3.888       8.888       8.888       -8.775     -8.775     -8.725     10.04       10.07       10.09       11.38       11.41       11.47       7.022       7.507       8.067       1.262     1.302     1.347     8.627       8.677       8.747       1.388     1.413     1.538     34.15       42.35       52.65       0.713         2.013         4.613         -10.27       -9.425       -9.075       9.947         10.04         10.09         10.26         10.81         11.11         6.212         6.872         7.537         -0.268      0.637       0.967       8.702         8.972         9.207         0.213       0.688       0.988       32.15         39.65         49.55         0.049        0.128        0.394        10.05           10.72           11.08           9.567            9.887            10.07           
  7094    0.013       0.013       0.013       -12.97     -12.97     -12.97     8.002       8.002       8.002       8.002       8.002       8.002       6.002       6.002       6.002       -1.998    -1.998    -1.998    5.502       5.502       5.502       0.013     0.013     0.013     10.05       10.05       10.05       0.613         0.613         0.613         -7.925       -7.925       -7.925       8.202         8.207         8.207         10.4          10.4          10.4          6.067         6.197         6.722         0.297       0.297       0.297       7.552         7.552         7.552         0.363       0.363       0.363       46.05         46.05         56.15         0.001        0.001        0.003        10.4            10.4            10.4            8.002            8.002            8.002           
  7183    7.838       7.838       7.838       -8.575     -8.575     -8.575     11.17       11.17       11.17       12.73       12.73       12.73       8.312       8.797       9.317       2.587     2.587     2.587     9.197       9.197       9.197       2.638     2.638     2.638     35.15       43.85       54.85       2.588         4.413         8.363         -9.475       -9.275       -8.975       10.95         11.04         11.11         11.78         11.97         12.17         7.557         8.077         8.662         1.532       1.782       2.047       8.817         9.062         9.212         1.113       1.413       1.838       33.35         40.75         50.25         0.062        0.143        0.251        11.67           11.89           12.14           10.88            11.06            11.31           
  7219    0.013       0.013       0.013       -12.97     -12.97     -12.97     8.002       8.002       8.002       8.002       8.002       8.002       6.002       6.002       6.002       -1.998    -1.998    -1.998    5.502       5.502       5.502       0.013     0.013     0.013     10.05       10.05       10.05       10.113        10.113        10.113        -10.32       -10.32       -10.32       10.88         10.88         10.88         11.35         11.36         11.36         7.507         7.687         8.027         0.537       0.537       0.542       8.947         8.947         8.947         2.788       2.788       2.788       28.45         35.35         35.85         0.001        0.004        0.007        11.35           11.35           11.36           8.002            8.832            9.137           
  7603    5.188       5.188       5.188       -8.075     -8.075     -8.075     8.952       8.952       8.952       10.91       10.91       10.91       6.477       6.967       7.502       0.857     0.857     0.862     7.942       7.942       7.942       1.013     1.013     1.013     36.35       48.25       59.55       0.363         0.513         1.063         -8.825       -8.575       -8.375       8.887         8.947         9.047         10.01         10.23         10.48         6.002         6.167         6.742         0.222       0.357       0.547       8.272         8.477         8.737         0.113       0.238       0.438       36.45         48.45         62.35         0.016        0.041        0.09         9.982           10.21           10.48           8.587            8.802            9.062           
  7649    0.538       0.613       1.013       -9.175     -9.175     -9.025     9.367       9.452       9.497       10.09       10.17       10.23       6.002       6.212       6.737       0.282     0.287     0.347     8.937       9.047       9.177       0.188     0.288     0.288     36.95       48.65       60.75       0.338         0.538         1.013         -9.375       -9.175       -9.025       9.352         9.422         9.497         9.857         10.09         10.24         6.002         6.032         6.597         0.057       0.252       0.347       8.837         9.042         9.177         0.113       0.188       0.288       36.35         48.05         61.45         0.003        0.011        0.036        9.852           10.09           10.23           8.002            8.107            8.512           
  7764    2.763       5.088       9.188       -8.425     -8.325     -8.225     9.202       9.257       9.302       10.9        10.94       11.07       6.482       6.982       7.517       0.862     0.907     1.012     8.107       8.237       8.347       1.363     1.388     1.563     35.45       44.65       55.55       0.888         1.613         3.688         -9.275       -9.025       -8.725       9.267         9.337         9.402         10.12         10.36         10.62         6.002         6.377         6.967         0.087       0.322       0.597       8.612         8.862         9.047         0.313       0.588       0.938       34.55         44.15         56.25         0.043        0.122        0.238        10.01           10.29           10.59           9.107            9.392            9.597           
  7772    5.013       5.013       6.688       -8.475     -8.475     -8.475     9.582       9.582       9.587       11.23       11.23       11.24       6.787       7.287       7.792       1.117     1.117     1.117     8.692       8.692       8.692       1.488     1.488     1.488     35.45       44.85       56.25       0.788         1.613         3.813         -9.525       -9.175       -8.825       9.517         9.597         9.697         10.25         10.52         10.78         6.002         6.537         7.132         0.157       0.472       0.747       8.697         8.942         9.172         0.288       0.563       0.963       34.05         43.25         55.65         0.043        0.134        0.266        10.13           10.45           10.75           9.262            9.612            9.772           
  7837    3.638       5.513       10.713      -8.475     -8.325     -8.225     10.33       10.34       10.43       11.99       12.01       12.16       7.632       8.132       8.652       1.937     2.007     2.112     8.117       8.192       8.402       1.413     1.463     1.663     35.35       44.55       55.85       0.888         1.738         4.013         -9.275       -9.025       -8.725       10.38         10.45         10.53         11.23         11.47         11.7          6.922         7.492         8.067         1.197       1.442       1.692       8.632         8.882         9.082         0.363       0.663       1.013       34.85         44.35         56.15         0.035        0.104        0.222        11.12           11.43           11.69           10.13            10.45            10.65           
  7885    4.713       4.713       4.713       -10.67     -10.67     -10.67     9.797       9.797       9.797       9.907       9.907       9.907       6.002       6.247       6.937       -0.893    -0.893    -0.888    8.987       8.987       8.987       0.813     0.813     0.813     26.75       33.05       38.45       0.838         1.213         3.738         -11.22       -11.07       -10.87       9.847         9.932         9.982         9.397         9.512         9.692         6.002         6.002         6.412         -1.308      -1.138      -0.968      9.297         9.407         9.542         0.213       0.288       0.488       28.25         34.45         40.05         0.047        0.15         0.288        9.277           9.422           9.652           8.257            8.682            8.917           
  7886    2.588       2.588       2.588       -9.375     -9.375     -9.375     10.81       10.81       10.82       11.56       11.56       11.56       7.142       7.632       8.152       1.432     1.432     1.432     9.317       9.317       9.317       1.313     1.313     1.313     35.05       43.95       54.95       1.138         3.138         5.938         -10.27       -9.925       -9.675       10.67         10.74         10.83         10.79         11.07         11.33         6.652         7.217         7.842         0.477       0.822       1.092       9.147         9.342         9.462         0.463       0.863       1.413       32.05         39.15         48.15         0.014        0.055        0.228        10.67           11.05           11.32           9.417            9.627            10.24           
  7988    2.388       3.988       6.113       -8.875     -8.725     -8.575     9.762       9.782       9.827       10.91       11.04       11.2        6.662       7.157       7.677       0.912     1.037     1.172     8.527       8.612       8.782       0.963     1.188     1.388     34.95       44.05       55.55       1.313         1.938         4.763         -9.375       -9.125       -8.875       9.787         9.867         9.932         10.55         10.78         10.97         6.332         6.867         7.422         0.512       0.752       0.932       8.747         8.947         9.137         0.538       0.813       1.113       34.25         43.25         54.35         0.011        0.043        0.112        10.49           10.76           10.96           8.952            9.377            9.662           
  8038    4.938       4.938       4.938       -9.075     -9.075     -9.075     9.732       9.732       9.732       11.06       11.06       11.06       6.647       7.097       7.297       0.667     0.667     0.672     8.962       8.962       8.962       1.363     1.363     1.363     37.15       40.15       53.05       0.988         1.863         3.988         -9.625       -9.375       -9.125       9.587         9.662         9.747         10.29         10.47         10.64         6.002         6.442         7.012         0.067       0.302       0.492       8.937         9.112         9.292         0.363       0.613       0.888       34.35         43.25         53.85         0.154        0.264        0.415        10.11           10.34           10.55           9.722            9.832            10.06           
  8041    1.913       4.213       4.213       -10.92     -10.82     -10.82     10.32       10.32       10.38       10.24       10.29       10.29       6.097       6.562       7.217       -0.523    -0.518    -0.518    9.087       9.087       9.122       0.463     0.513     0.513     28.15       34.35       39.95       0.888         1.913         4.213         -11.22       -10.92       -10.82       10.32         10.37         10.43         10.09         10.28         10.32         6.002         6.477         7.152         -0.788      -0.528      -0.518      9.087         9.122         9.317         0.238       0.463       0.513       27.95         33.95         39.65         0.017        0.072        0.198        9.927           10.24           10.29           8.437            9.087            9.497           
  8067    3.088       3.088       3.088       -10.32     -10.32     -10.32     10.33       10.33       10.33       10.56       10.56       10.56       6.382       6.852       7.512       0.027     0.027     0.027     8.892       8.892       8.892       0.713     0.713     0.713     28.65       34.95       40.65       0.363         1.313         3.088         -10.92       -10.72       -10.52       10.26         10.3          10.45         9.962         10.21         10.52         6.002         6.477         7.132         -0.673      -0.318      -0.173      8.892         9.127         9.237         0.188       0.338       0.663       28.45         34.55         40.35         0.034        0.105        0.314        9.852           10.17           10.48           8.822            9.302            9.637           
  8113    0.713       0.713       0.888       -9.075     -9.075     -9.025     9.247       9.272       9.272       10.13       10.14       10.15       6.002       6.192       6.742       0.197     0.207     0.227     8.917       8.967       8.967       0.238     0.263     0.288     37.05       48.65       59.15       0.163         0.413         0.813         -9.525       -9.225       -9.025       9.242         9.322         9.412         9.517         9.837         10.14         6.002         6.002         6.392         -0.133      0.112       0.207       8.862         9.097         9.272         0.063       0.138       0.263       36.65         49.05         62.65         0.002        0.009        0.036        9.482           9.827           10.14           8.002            8.002            8.247           
  8154    3.263       7.538       14.388      -9.225     -9.175     -9.075     10.47       10.53       10.56       11.4        11.43       11.51       7.162       7.637       8.202       1.302     1.322     1.402     9.042       9.127       9.222       1.763     1.838     1.963     33.55       41.25       50.95       3.238         5.763         9.863         -9.625       -9.325       -9.125       10.44         10.51         10.58         11.16         11.34         11.48         7.022         7.517         8.112         0.957       1.197       1.357       8.977         9.132         9.272         1.438       1.713       1.963       32.85         39.95         48.65         0.007        0.022        0.058        11.14           11.33           11.48           9.207            9.687            9.987           
  8167    5.113       5.113       5.113       -9.475     -9.475     -9.475     10.7        10.7        10.7        11.34       11.34       11.34       6.977       7.447       8.027       1.202     1.202     1.202     9.327       9.327       9.327       1.938     1.938     1.938     33.65       41.15       50.05       4.313         7.363         13.013        -9.875       -9.575       -9.225       10.65         10.73         10.82         11.23         11.5          11.71         7.202         7.722         8.327         0.837       1.172       1.497       8.762         9.077         9.327         1.888       2.663       2.988       31.15         37.65         45.15         0.002        0.02         0.063        11.19           11.49           11.7            8.747            9.817            10.02           
  8402    2.638       3.888       9.438       -8.675     -8.625     -8.475     9.722       9.772       9.822       11.09       11.14       11.27       6.772       7.272       7.782       1.082     1.142     1.262     8.377       8.552       8.612       1.188     1.238     1.438     35.25       44.75       56.35       1.188         1.913         4.113         -9.475       -9.175       -8.975       9.822         9.892         9.967         10.54         10.74         10.96         6.262         6.812         7.377         0.492       0.702       0.927       8.787         9.027         9.177         0.438       0.688       1.088       34.25         43.35         55.05         0.021        0.077        0.164        10.47           10.71           10.95           9.197            9.597            9.812           
  8461    5.513       7.213       7.213       -8.125     -7.975     -7.975     9.042       9.047       9.092       11.05       11.19       11.2        6.782       7.257       7.767       0.977     1.067     1.072     7.782       7.782       7.972       1.438     1.613     1.613     35.05       45.15       57.15       0.613         1.138         2.263         -9.275       -8.975       -8.625       9.052         9.142         9.212         9.907         10.17         10.46         6.002         6.197         6.787         -0.068      0.197       0.472       8.527         8.782         9.032         0.213       0.413       0.713       35.25         45.05         57.55         0.032        0.074        0.169        9.847           10.13           10.44           8.862            8.997            9.237           
  8540    0.013       0.013       0.013       -12.97     -12.97     -12.97     8.002       8.002       8.002       8.002       8.002       8.002       6.002       6.002       6.002       -1.998    -1.998    -1.998    5.502       5.502       5.502       0.013     0.013     0.013     10.05       10.05       10.05       0.013         0.013         0.013         -8.525       -8.525       -8.525       8.002         8.002         8.002         8.002         8.002         8.002         6.002         6.002         6.002         -1.853      -1.808      -1.788      8.462         8.462         8.462         0.013       0.013       0.013       38.05         53.75         66.35         0.006        0.023        0.072        8.002           8.002           8.002           8.002            8.002            8.002           
  8586    0.313       0.463       0.588       -8.625     -8.625     -8.325     8.867       8.992       8.997       10.09       10.2        10.39       6.002       6.062       6.632       0.392     0.392     0.527     8.247       8.527       8.527       0.113     0.163     0.263     37.55       51.85       64.95       0.113         0.138         0.538         -8.725       -8.425       -8.225       8.872         8.972         9.022         9.507         9.552         10.12         6.002         6.002         6.427         0.332       0.567       0.662       8.267         8.482         8.912         0.088       0.088       0.138       32.15         39.75         52.25         0.004        0.022        0.071        9.502           9.507           10.12           8.002            8.007            8.427           
  8976    0.388       0.463       0.938       -8.675     -8.675     -8.475     8.952       8.977       9.022       10.12       10.14       10.34       6.002       6.087       6.617       0.317     0.347     0.467     8.397       8.422       8.582       0.138     0.163     0.263     37.55       50.75       64.55       0.088         0.388         0.463         -9.075       -8.775       -8.625       8.972         9.052         9.122         9.537         10.08         10.2          6.002         6.002         6.437         0.067       0.297       0.377       8.422         8.687         8.812         0.038       0.138       0.188       37.55         50.15         64.55         0.004        0.015        0.046        9.482           10.07           10.19           8.002            8.187            8.567           
  9026    6.688       7.213       8.838       -9.425     -9.425     -9.125     10.53       10.54       10.58       11.45       11.57       11.65       7.287       7.752       8.352       1.127     1.127     1.432     8.712       8.752       8.862       1.788     1.788     1.988     32.05       38.75       46.95       1.513         3.088         6.038         -10.52       -10.17       -9.925       10.33         10.46         10.58         10.6          10.85         11.14         6.447         7.032         7.712         -0.118      0.247       0.537       8.817         8.992         9.367         0.388       0.813       1.213       29.65         35.85         41.95         0.077        0.188        0.375        10.4            10.78           11.1            9.902            10.08            10.25           
  9372    1.038       1.338       1.488       -8.475     -8.375     -8.375     8.712       8.717       8.772       10.27       10.32       10.37       6.002       6.242       6.742       0.297     0.362     0.382     8.242       8.277       8.352       0.438     0.488     0.588     36.25       46.85       59.15       0.413         0.763         1.038         -8.825       -8.525       -8.425       8.702         8.737         8.842         9.837         10.05         10.27         6.002         6.002         6.522         0.002       0.212       0.297       8.337         8.482         8.737         0.113       0.263       0.438       36.85         48.65         62.05         0.013        0.044        0.105        9.792           10.03           10.26           8.287            8.677            8.942           
  9380    5.713       6.063       9.213       -8.575     -8.575     -8.525     9.717       9.737       9.752       11.2        11.22       11.23       6.837       7.322       7.827       1.157     1.187     1.202     8.402       8.497       8.562       1.963     1.988     2.013     35.15       44.05       55.55       2.913         4.588         8.138         -9.225       -8.975       -8.675       9.742         9.802         9.882         10.75         10.91         11.11         6.547         7.057         7.617         0.627       0.832       1.057       8.607         8.822         9.062         1.213       1.538       1.863       33.95         42.35         52.95         0.019        0.05         0.104        10.71           10.89           11.1            9.347            9.617            9.792           
  9769    6.563       7.013       7.188       -9.275     -8.875     -8.875     10.78       10.81       10.94       11.75       11.98       11.99       7.567       8.047       8.587       1.647     1.912     1.917     8.827       8.862       9.237       1.963     2.363     2.363     34.25       42.35       52.75       3.688         6.438         11.013        -9.475       -9.325       -9.075       10.81         10.9          10.98         11.59         11.76         11.96         7.432         7.937         8.522         1.387       1.602       1.852       8.907         9.112         9.307         1.688       1.988       2.488       33.25         40.45         49.55         0.013        0.048        0.109        11.54           11.74           11.95           10.04            10.4             10.66           
  9871    3.188       4.238       4.763       -8.475     -8.475     -8.375     9.382       9.432       9.452       10.95       10.97       11.05       6.527       7.032       7.542       0.982     0.982     1.047     8.252       8.362       8.392       0.888     0.913     1.013     35.55       45.75       58.55       0.538         0.963         2.438         -9.325       -9.075       -8.725       9.467         9.562         9.652         10.19         10.44         10.72         6.002         6.447         7.022         0.292       0.497       0.757       8.647         8.937         9.147         0.188       0.388       0.638       35.85         46.45         59.05         0.025        0.062        0.129        10.15           10.41           10.71           9.027            9.207            9.382           
  9884    0.663       0.663       0.663       -7.925     -7.925     -7.925     9.142       9.142       9.147       11.25       11.25       11.25       6.377       6.962       7.397       1.227     1.227     1.227     7.587       7.587       7.587       0.413     0.413     0.413     37.15       47.55       61.15       0.113         0.188         0.438         -8.525       -8.425       -8.075       9.277         9.402         9.452         10.46         10.67         10.96         6.002         6.477         7.067         0.902       0.987       1.157       8.062         8.357         8.437         0.038       0.113       0.213       36.75         49.35         64.25         0.061        0.144        0.266        10.33           10.61           10.93           9.552            9.837            9.982           
  10056   2.888       5.188       7.038       -9.375     -9.175     -9.125     9.607       9.627       9.692       10.46       10.58       10.63       6.312       6.797       7.387       0.312     0.432     0.482     8.947       9.002       9.202       1.188     1.363     1.438     32.95       40.05       48.95       1.463         2.813         6.038         -9.925       -9.525       -9.225       9.582         9.642         9.702         9.952         10.31         10.53         6.002         6.462         7.082         -0.263      0.152       0.397       8.992         9.182         9.332         0.588       1.013       1.288       32.65         39.65         48.55         0.004        0.02         0.084        9.907           10.3            10.52           8.012            8.572            8.947           
  10075   1.163       1.163       1.163       -8.725     -8.725     -8.725     9.112       9.112       9.112       10.47       10.47       10.47       6.127       6.602       7.132       0.402     0.407     0.407     8.572       8.572       8.572       0.688     0.688     0.688     34.25       42.45       53.15       0.613         1.088         1.163         -9.125       -8.875       -8.725       9.062         9.112         9.122         9.877         10.17         10.47         6.002         6.167         6.772         -0.028      0.177       0.402       8.572         8.847         9.147         0.113       0.363       0.688       36.15         45.05         59.05         0.004        0.022        0.109        9.847           10.16           10.47           8.002            8.562            8.952           
