# ID_0    tau_v16_0   tau_v50_0   tau_v84_0   sSFR16_0   sSFR50_0   sSFR84_0   Mstar16_0   Mstar50_0   Mstar84_0   Ldust16_0   Ldust50_0   Ldust84_0   Mdust16_0   Mdust50_0   Mdust84_0   SFR16_0   SFR50_0   SFR84_0   age_M16_0   age_M50_0   age_M84_0   A_V16_0   A_V50_0   A_V84_0   Tdust16_0   Tdust50_0   Tdust84_0   tau_v16_agn   tau_v50_agn   tau_v84_agn   sSFR16_agn   sSFR50_agn   sSFR84_agn   Mstar16_agn   Mstar50_agn   Mstar84_agn   Ldust16_agn   Ldust50_agn   Ldust84_agn   Mdust16_agn   Mdust50_agn   Mdust84_agn   SFR16_agn   SFR50_agn   SFR84_agn   age_M16_agn   age_M50_agn   age_M84_agn   A_V16_agn   A_V50_agn   A_V84_agn   Tdust16_agn   Tdust50_agn   Tdust84_agn   agnf16_agn   agnf50_agn   agnf84_agn   Ldustsf16_agn   Ldustsf50_agn   Ldustsf84_agn   Ldustagn16_agn   Ldustagn50_agn   Ldustagn84_agn  
  274     1.763       4.063       4.988       -8.925     -8.875     -8.725     9.927       9.997       10.02       11.07       11.13       11.18       6.727       7.242       7.762       1.082     1.127     1.187     8.652       8.862       8.897       0.713     0.813     0.888     35.25       44.95       57.05       0.713         1.213         2.488         -9.425       -9.175       -8.925       9.942         10.02         10.12         10.61         10.81         11.05         6.292         6.852         7.412         0.652       0.837       1.052       8.827         9.012         9.222         0.263       0.438       0.738       35.15         45.15         57.25         0.013        0.044        0.113        10.56           10.79           11.04           9.052            9.442            9.742           
  300     1.763       1.913       4.113       -9.125     -9.075     -8.975     10.03       10.07       10.12       10.85       11.02       11.09       6.542       7.047       7.572       0.887     1.017     1.077     8.817       9.057       9.067       0.588     0.813     0.938     35.35       44.65       55.85       0.738         1.513         3.088         -9.775       -9.375       -9.125       10.03         10.11         10.21         10.45         10.77         10.97         6.232         6.802         7.382         0.392       0.742       0.937       8.927         9.092         9.277         0.313       0.513       0.813       34.25         43.25         54.85         0.028        0.086        0.198        10.36           10.73           10.95           9.297            9.632            9.912           
  344     1.588       1.838       1.838       -8.525     -8.525     -8.525     9.222       9.227       9.227       10.63       10.63       10.63       6.002       6.527       7.032       0.697     0.702     0.702     8.437       8.437       8.437       0.463     0.463     0.463     36.65       47.75       60.85       0.263         0.413         1.013         -9.025       -8.875       -8.575       9.217         9.327         9.367         10.06         10.26         10.56         6.002         6.207         6.767         0.332       0.437       0.642       8.497         8.787         8.887         0.113       0.163       0.363       36.75         48.45         61.85         0.014        0.053        0.138        9.992           10.24           10.55           8.567            9.007            9.302           
  407     0.563       0.563       0.563       -11.12     -11.12     -11.12     9.352       9.352       9.352       8.687       8.687       8.687       6.002       6.002       6.002       -1.753    -1.753    -1.753    9.192       9.192       9.192       0.088     0.088     0.088     29.25       35.35       41.35       0.563         0.563         0.563         -11.12       -11.12       -11.12       9.347         9.352         9.352         8.697         8.747         8.872         6.002         6.002         6.002         -1.758      -1.753      -1.753      9.192         9.192         9.192         0.088       0.088       0.088       29.45         35.45         41.15         0.034        0.139        0.33         8.682           8.687           8.687           8.002            8.002            8.347           
  449     1.088       1.088       1.538       -7.925     -7.875     -7.875     8.902       8.902       8.977       11.09       11.13       11.13       6.522       7.062       7.572       1.032     1.052     1.052     7.602       7.637       7.687       0.713     0.713     0.763     37.05       49.05       62.95       0.838         1.963         3.763         -8.325       -7.975       -7.925       8.787         9.017         9.122         10.93         11.14         11.33         6.422         6.967         7.527         0.762       0.912       1.107       7.597         7.762         8.497         0.638       1.088       1.238       37.15         48.45         61.95         0.023        0.035        0.318        10.81           11.13           11.29           9.547            9.607            10.58           
  482     7.613       7.613       7.613       -9.225     -9.225     -9.225     10.56       10.56       10.56       11.79       11.79       11.79       7.252       7.762       8.242       1.352     1.357     1.357     9.312       9.312       9.312       2.063     2.063     2.063     35.85       45.85       58.05       2.888         5.013         9.213         -10.22       -9.825       -9.375       10.47         10.57         10.66         10.88         11.11         11.39         6.732         7.292         7.927         0.342       0.767       1.172       9.062         9.282         9.422         1.038       1.513       2.013       31.35         37.75         45.45         0.068        0.153        0.292        10.74           11.04           11.36           10.17            10.29            10.37           
  499     1.313       1.313       2.213       -10.92     -10.92     -10.57     10.1        10.23       10.23       10.05       10.05       10.21       6.002       6.357       7.017       -0.683    -0.683    -0.448    8.987       9.267       9.267       0.488     0.488     0.663     28.35       34.45       40.15       0.388         1.288         2.063         -11.47       -11.02       -10.82       10.03         10.22         10.27         9.482         9.797         10.08         6.002         6.002         6.702         -1.188      -0.828      -0.688      9.012         9.267         9.472         0.088       0.263       0.488       28.55         34.55         40.25         0.022        0.092        0.276        9.347           9.757           10.05           8.087            8.732            9.137           
  513     4.788       5.538       6.913       -8.725     -8.625     -8.575     9.892       9.902       9.957       11.26       11.28       11.34       6.897       7.387       7.907       1.227     1.257     1.322     8.467       8.572       8.702       1.513     1.538     1.663     34.95       43.85       55.05       1.863         3.763         6.538         -9.425       -9.125       -8.825       9.932         10.01         10.1          10.74         10.99         11.19         6.572         7.102         7.677         0.637       0.902       1.117       8.722         8.977         9.192         0.763       1.163       1.513       33.95         42.35         52.95         0.014        0.057        0.133        10.68           10.96           11.18           9.222            9.742            9.942           
  528     5.738       5.738       5.738       -9.025     -9.025     -9.025     11.24       11.24       11.24       12.06       12.06       12.06       7.867       8.337       8.977       2.217     2.217     2.217     8.777       8.777       8.777       1.713     1.713     1.713     28.95       34.95       40.75       1.288         2.413         4.963         -10.47       -10.22       -9.925       10.99         11.07         11.24         11.24         11.49         11.72         7.137         7.722         8.407         0.592       0.897       1.157       8.747         8.862         9.112         0.388       0.813       1.163       29.15         35.35         41.25         0.052        0.172        0.346        11.0            11.42           11.68           10.42            10.73            10.87           
  533     0.838       1.488       2.413       -8.575     -8.275     -8.225     8.932       8.942       9.042       10.41       10.66       10.72       6.117       6.632       7.157       0.457     0.642     0.717     8.107       8.192       8.442       0.463     0.688     0.763     35.95       46.35       58.75       0.438         0.713         1.338         -8.875       -8.625       -8.375       8.917         9.017         9.092         10.08         10.34         10.59         6.002         6.327         6.892         0.192       0.402       0.597       8.247         8.517         8.767         0.163       0.338       0.588       36.15         47.05         59.25         0.012        0.044        0.121        10.03           10.29           10.57           8.457            8.972            9.377           
