#ID     M_tot_mean     M_tot_median   M_tot_16	M_tot_84	      M_tot_3     M_tot_97		      M_star_mean    M_star_median  M_star_16	M_star_84	     M_star_3	M_star_97	      mass_w_age_mean   mass_w_age_median   mass_w_age_16    mass_w_age_84		   mass_w_age_3	    mass_w_age_97	  mass_w_Z_mean   mass_w_Z_median   mass_w_Z_16	    mass_w_Z_84	   mass_w_Z_3   mass_w_Z_97		  N_ion_mean   N_ion_median   N_ion_16    N_ion_84	       N_ion_3    N_ion_97	        xi_ion_mean   xi_ion_median   xi_ion_16	    xi_ion_84       xi_ion_3     xi_ion_97	        xi_ion_unatt_mean   xi_ion_unatt_median   xi_ion_unatt_16     xi_ion_unatt_84	   xi_ion_unatt_3     xi_ion_unatt_97	    xi_ion_unatt_stellar_mean   xi_ion_unatt_stellar_median   xi_ion_unatt_stellar_16     xi_ion_unatt_stellar_84   xi_ion_unatt_stellar_3     xi_ion_unatt_stellar_97   UV_slope_mean   UV_slope_median   UV_slope_16    UV_slope_84	       UV_slope_3    UV_slope_97		  
 23720  1.43189325E9   1.3710537E9     1.21980314E9   1.640544E9        1.11999872E9   2.1005207E9      1.06739686E9   1.0335168E9     9.3470509E8   1.20143642E9        8.6090554E8   1.47310938E9       2.05539968E8      1.63458608E8	     1.14270256E8   2.7522976E8      8.4367296E7   5.8624832E8 	  0.008102274	  0.006453361	     0.004095115   0.012285153       0.0025441644   0.0230695 	  52.499172    52.4327         51.82868   53.24363       51.473885   53.651012    24.802904     24.736414        24.12888   25.551535      23.780313   25.955978    24.041626	    23.97713		   23.368093   24.770105     23.13377   25.149824     24.035847		        23.974766		       23.367966   24.75665 	    23.133778   25.118382        -1.1131767      -1.1008862	   -1.2326831   -0.99347514      -1.4340918   -0.8930534    
 23751  3.6890293E11   3.69649975E11   3.14975322E11   4.23258128E11    2.60698554E11   4.80784089E11   2.52976775E11  2.54086382E11   2.15718887E11   2.90414428E11     1.77302847E11   3.25312905E11    5.9978426E8       5.9355846E8	     3.89110912E8   7.9776211E8      2.64745328E8   1.03659258E9    0.013260381	  0.012532021	     0.006637098   0.020465309       0.0033409237   0.025226973     53.484047    53.19565        52.43111   54.72924       52.15584   55.78941      25.854376     25.562366        24.735065   27.143763     24.291069   28.53395     24.14919	    24.059168		   23.064814   25.372192     22.512314   25.871933    24.105722		        24.056322		       23.064823   25.291943 	    22.512308   25.515879        3.7037275       2.7447457	   1.4254477   6.746249          1.0059043   9.9853115 	  
 2428   5.0724962E10   5.0672824E10    4.9629454E10   5.1808543E10      4.8472076E10   5.3323583E10     2.82629018E10  2.82278892E10   2.76564439E10   2.88508969E10     2.70632202E10   2.9692117E10     7.8977669E9       7.9901496E9	     7.7484759E9   7.9999923E9       7.4999675E9   7.999999E9 	  0.0025354596    0.0025610826       0.0023676148   0.0027475753     0.0017464051   0.002935852     51.90105     51.88763        51.869423   51.931057     51.859177   52.028416    25.661938     25.64856         25.62768   25.687187      25.617252   25.80275     25.623806	    25.619589		   25.613668   25.631392     25.602352   25.679827    25.618593		        25.618397		       25.614586   25.620367 	    25.608517   25.624994        0.3607587       0.34474042	   0.1847257   0.5045654         -0.002196762   0.9665003   
 24572  1.62915725E9   1.63336806E9    6.8650509E8   2.42318362E9       2.21223824E8   3.30053094E9     1.34645786E9   1.38202893E9    5.6513555E8   1.97690048E9        2.00683408E8   2.61636275E9      4.8750556E7       2.9903568E7	     1.7147228E7   6.3633544E7       1.1469339E7   2.44459632E8     6.667162E-4	  2.5070773E-4       1.3467298E-4   5.99286E-4       1.0577075E-4   0.0043892185    54.155167    54.13413        53.83378   54.599503      53.305843   54.722       25.473864     25.439877        25.136986   25.93378      24.635958   26.069757    24.813433	    24.66817		   24.479374   25.486805     24.183268   25.622683    24.826006		        24.66887		       24.478674   25.542875 	    24.182688   25.66901         -1.7517124      -1.7619908	   -1.929293   -1.5811888        -2.1063993   -1.3177692    
 25835  1.28042414E10  1.28494193E10   1.17754829E10   1.38280212E10    1.07272888E10   1.45869107E10   8.080062E9     8.0980623E9     7.524585E9   8.6300006E9 	      6.968362E9   9.0612521E9         2.46444058E9      2.49473638E9	     1.97890266E9   2.92433613E9     1.49547955E9   3.33322394E9    0.020286057	  0.020716129	     0.01588603   0.024539331 	    0.011911114   0.02614338 	  53.274937    53.230923       52.98717   53.594116      52.800026   53.929203    25.497736     25.44398         25.19579   25.830761      25.02019   26.230474     25.085142	    25.083166		   24.812115   25.40338      24.545658   25.578533    24.945864		        24.952106		       24.734268   25.190557 	    24.50156   25.323797         -1.2534889      -1.236353	   -1.4713598   -1.061976        -1.65223   -0.8831371 	  
 26600  3.32542669E9   3.37468954E9    2.87918541E9   3.79366963E9      2.18701926E9   4.1199657E9      2.43745024E9   2.47723981E9    2.16682342E9   2.74388557E9       1.69608691E9   2.9465495E9       2.25102592E8      1.944268E8	     1.18209768E8   3.37613984E8     6.7896048E7   5.466496E8 	  2.2566835E-4    1.7180158E-4       1.22054065E-4   2.499693E-4     1.0428904E-4   4.499644E-4     53.4543      53.460407       53.225903   53.666317     52.97797   53.963783     25.818062     25.826656        25.57295   26.049639      25.308966   26.326405    24.454836	    24.367262		   24.30831   24.624893      24.27327   25.079872     24.457623		        24.367851		       24.308575   24.629795 	    24.273487   25.10321         -0.68112        -0.6589995	   -0.89756954   -0.45854047     -1.1694744   -0.31328487   
 3019   6.7475759E10   6.7997827E10    5.7616024E10   7.6422177E10      4.9323176E10   8.4251951E10     4.2863342E10   4.3225285E10    3.6733661E10   4.8561881E10       3.13574011E10   5.357749E10      1.65657946E9      1.64082739E9	     1.36679539E9   1.98046042E9     9.7286995E8   2.29799603E9     0.014326913	  0.012795975	     0.00865426   0.021461109 	    0.0065013617   0.0254433 	  52.73928     52.734474       51.7502   53.658764       51.490692   54.394638    25.558191     25.545336        24.47337   26.483715      24.074701   27.788647    24.930925	    25.038198		   24.08672   25.631353      23.653831   26.030504    24.841314		        24.989416		       24.082851   25.476894 	    23.653532   25.53784         1.0120866       0.4110325	   -0.28812227   1.8487587       -0.7314685   8.545465 	  
 449    3.95544755E9   3.56102093E9    1.73984742E9   6.2401577E9       8.9807667E8   9.1084534E9       3.01769472E9   2.78422426E9    1.4419712E9   4.60365E9 	      7.6668365E8   6.5920507E9        1.31051512E8      9.4588704E7	     2.9352674E7   2.53153808E8      1.3004918E7   3.91420704E8     0.0073368996    0.00578018	     0.0018495155   0.013427707      5.660744E-4   0.021448867 	  54.04142     54.35455        52.91822   54.891926      52.17655   55.14612      25.554274     25.847612        24.437138   26.416533     23.687452   26.682476    24.790493	    25.140985		   23.81095   25.444489      23.240643   25.794603    24.757488		        25.121967		       23.811787   25.403877 	    23.24064   25.499336         -1.3478343      -1.3626751	   -1.5342656   -1.1728115       -1.7429384   -0.86763847   
 5012   2.86874701E9   2.83032013E9    2.32139443E9   3.4116544E9       1.9642327E9   4.01615334E9      2.35769702E9   2.33685683E9    1.93929626E9   2.7636375E9        1.66709978E9   3.2212096E9       4.2866432E7       4.0511628E7	     3.0603868E7   5.4892576E7       2.4526936E7   7.4403152E7 	  0.018648993	  0.018708317	     0.014522721   0.02288142 	    0.011652004   0.025333332 	  54.65781     54.656082       54.508827   54.818535     54.373318   54.90447     26.01717      26.014202        25.868843   26.176311     25.72656   26.264666     25.206861	    25.188616		   25.067186   25.36335      24.976168   25.466562    25.17409		        25.173353		       25.07094   25.284458 	    24.983448   25.345331        -1.405849       -1.4088026	   -1.4543961   -1.3571118       -1.4900352   -1.3088523    
 5088   1.72537587E9   1.72812954E9    1.61685107E9   1.83452058E9      1.49958976E9   1.9430839E9      1.6167849E9    1.61955136E9    1.51581504E9   1.71958707E9       1.40813696E9   1.82004147E9      6340741.5         6318111.5	     6222127.0   6454452.5 	    6130219.0   6691506.5 	  2.095323E-4	  2.0561331E-4       1.657939E-4   2.510292E-4       1.346944E-4   3.1703428E-4     55.585167    55.585953       55.561745   55.61033      55.530685   55.63162     26.669693     26.670362        26.643545   26.697037     26.606684   26.720877    25.548399	    25.546484		   25.536741   25.558668     25.525776   25.586708    25.640888		        25.640392		       25.626701   25.655594 	    25.61115   25.66965          -0.9730288      -0.97502816	   -1.0317907   -0.90954727      -1.0882882   -0.8558881    
 6131   8.5043013E11   8.708754E11     7.3286025E11   9.6171098E11      6.1122616E11   9.9270014E11     5.7132489E11   5.8518576E11    4.967675E11   6.4115429E11        4.19716858E11   6.624394E11      6.2898688E8       6.3659251E8	     5.6426016E8   6.800119E8 	    5.2325712E8   7.3631386E8 	  4.0906193E-4    4.0044347E-4       2.9946296E-4   5.13301E-4       2.1242307E-4   6.268046E-4     56.8762      57.05584        56.804   57.186554        53.791954   57.27283     28.218092     28.392105        28.167658   28.51225      25.17907   28.601683     25.529926	    25.573105		   25.549484   25.65257      24.177471   25.731844    25.580015		        25.646177		       25.62892   25.664074 	    24.178017   25.686079        2.5628583       2.5139093	   2.0521452   3.054936          1.8468409   3.5132587 	  
 6401   8.1514553E10   8.1407967E10    7.2222638E10   9.0359013E10      6.4156758E10   1.029033E11      5.1270128E10   5.1233096E10    4.5928321E10   5.6405246E10       4.1041121E10   6.3303524E10      1.83810803E9      1.8037815E9	     1.60040205E9   2.08544448E9     1.45116045E9   2.39090995E9    0.012262966	  0.0121027	     0.008073273   0.01624452 	    0.0055326656   0.021176733     53.06223     53.011818       51.88356   54.26482       51.65822   54.72549      26.326279     26.297573        25.161297   27.520636     24.903643   27.988667    24.690344	    24.821682		   23.780643   25.446686     23.55543   25.625105     24.667269		        24.79199		       23.780214   25.424433 	    23.555841   25.492367        1.0176238       0.99908644	   0.6909155   1.3123143         0.43374428   1.648272 	  
 7885   1.68944077E10  1.7125289E10    1.4998185E10   1.8615808E10      1.20853115E10   2.07027794E10   1.06140897E10  1.08224942E10   9.4564147E9   1.16644055E10       7.6972442E9   1.268975E10        1.96322202E9      1.8530583E9	     1.5664887E9   2.32976563E9      1.46257459E9   3.12920218E9    0.019213507	  0.02166608	     0.010327464   0.025282558       0.0069396533   0.026299102     53.013947    53.157333       52.136135   53.871613     51.07   54.077587        27.15347      27.12859         26.103783   28.38841      25.020395   28.86522     25.444332	    25.6126		   25.04442   25.816181      23.975163   25.973007    25.236744		        25.415047		       24.968006   25.493597 	    23.970587   25.539965        1.8027824       0.8435686	   0.26751673   3.97533          -0.1361616   5.6453257     
