#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
5966	9.87738	9.97121	10.08479	-1.06614	0.95639	1.11214	-0.98198	0.9711	1.10601	-0.91933	0.0734	0.18481	9.52127	9.57596	9.62112	0.95983	1.21762	1.44772	0.9612	1.16562	1.3602	0.10403	0.3169	0.59346
7100	9.72808	9.90097	10.10413	0.47704	0.73012	0.97463	0.51392	0.75016	0.97071	-0.0946	0.07859	0.27437	9.48378	9.55869	9.61306	0.49471	0.71684	0.97414	0.57136	0.73436	0.9568	0.01691	0.11273	0.33194
8231	10.25372	10.33185	10.48963	-2.88815	0.44737	1.33248	-2.71205	0.6368	1.35206	-0.85658	0.03004	0.31552	9.54789	9.82423	9.94828	-2.41624	1.57144	1.86338	-2.23435	1.50984	1.75055	-1.77973	0.54349	0.88042
27771	9.485	9.69151	9.86201	-0.00461	1.00629	1.49204	0.18047	1.03616	1.40684	-0.03992	0.20719	0.7471	8.99021	9.14813	9.28408	-1.96231	1.04478	1.25259	-1.7888	0.94496	1.13091	-1.59066	0.19603	0.43841
4386	9.57192	9.69502	9.89088	-0.48904	0.12623	0.78411	-0.33319	0.22228	0.80745	0.01459	0.21162	0.66269	9.20619	9.31015	9.39853	0.06924	0.77417	1.2012	0.17003	0.76238	1.1161	0.11238	0.57173	1.0834
20710	10.18611	10.37648	10.60242	-3.86679	-2.13151	-0.86295	-3.69662	-1.98013	-0.7511	0.03797	0.22389	0.56254	9.75433	9.8115	9.86607	-2.55819	-1.47806	-0.7017	-2.37683	-1.32823	-0.59301	-0.25799	0.04238	0.1776
16529	9.35284	9.43536	9.53932	0.22696	0.50705	0.72479	0.33386	0.52953	0.71414	0.036	0.11845	0.29804	9.01893	9.08821	9.15534	0.58686	0.77489	0.95338	0.57627	0.72536	0.85157	0.20725	0.38135	0.55477
11439	9.43843	9.57109	9.6853	0.97368	1.19328	1.34232	0.96135	1.1458	1.25424	0.34385	0.63779	0.79641	9.40891	9.47638	9.54771	0.62875	0.78603	1.05284	0.62986	0.76681	1.00757	0.081	0.20468	0.51953
16350	9.10985	9.29034	9.40715	0.90251	1.13546	1.33876	0.82086	1.02325	1.18898	0.22524	0.55442	0.95933	8.74852	8.84653	8.95536	0.71522	0.82097	0.9613	0.60677	0.68754	0.80423	0.13382	0.22884	0.41667
25772	9.95416	10.03031	10.10043	0.35516	0.71419	1.30612	0.55338	0.88511	1.29831	-0.06866	0.07712	0.31592	9.45979	9.58423	9.65437	-1.85635	1.48374	1.67197	-1.6797	1.37881	1.52227	-1.40618	0.48313	0.74598
11375	9.40729	9.53947	9.6829	-0.32173	0.14109	0.56332	-0.17387	0.21981	0.58259	-0.07161	0.08471	0.32858	9.03995	9.16482	9.25229	-1.06177	0.33837	0.74201	-0.89454	0.37693	0.72701	-0.70999	0.15746	0.51675
4654	10.06912	10.14572	10.28708	-2.49664	0.00273	1.32562	-2.3589	0.18992	1.32274	-0.77982	0.04066	0.5604	9.42651	9.49804	9.73134	1.22157	1.48089	1.71739	1.284	1.35003	1.57173	0.47305	0.61398	0.94453
1558	10.30881	10.51005	10.62062	-2.59142	-1.56457	0.2509	-2.41302	-1.39959	0.40451	-0.42261	-0.1016	0.30433	9.77698	9.9155	9.97723	-1.96208	1.6656	1.93579	-1.77835	1.57508	1.80505	-0.77459	1.10746	1.39153
12688	9.03584	9.23518	9.40037	0.47664	0.7908	1.04611	0.49414	0.72633	0.93511	0.12391	0.39146	0.74842	8.75237	8.90346	9.0067	0.39248	0.60383	0.87247	0.39414	0.5362	0.76055	0.09789	0.23007	0.56841
12924	10.25023	10.34641	10.52931	-2.4334	-0.19346	1.42797	-2.26299	-0.04203	1.43348	-0.21835	0.0903	0.90596	9.78775	9.88605	9.96577	0.64575	1.75202	1.86907	0.69764	1.66261	1.75288	0.23224	1.18659	1.37051
18885	9.43176	9.54987	9.68046	-2.04898	0.18229	1.12789	-1.91536	0.31954	1.08423	-0.67038	0.13834	0.84538	8.97099	9.09147	9.19685	0.642	0.98304	1.19565	0.62396	0.88082	1.06875	0.26869	0.62707	0.9321
1747	9.59504	9.76226	9.95865	-0.70957	1.12409	1.52356	-0.59601	1.10668	1.42005	-0.62747	0.34288	0.81697	9.11406	9.27084	9.38847	0.97301	1.14617	1.36254	0.91158	1.03854	1.2381	0.19304	0.35901	0.65701
22759	9.60557	9.70844	9.86612	-0.14116	1.03189	1.61217	0.02364	1.05121	1.48043	0.02161	0.62663	1.3732	9.03345	9.20557	9.36713	0.97479	1.16465	1.3458	0.86588	1.03658	1.20564	0.41324	0.67473	0.92254
1280	9.75293	9.88032	9.97595	0.86786	1.36984	1.59701	0.97775	1.34507	1.51113	0.32877	0.68999	0.95551	9.27858	9.39474	9.52628	0.96046	1.21573	1.49098	0.92087	1.1072	1.36365	0.18211	0.43102	0.90111
5013	9.23307	9.50219	9.69501	0.7059	0.928	1.13353	0.72627	0.88983	1.06197	0.03296	0.12391	0.38324	9.12034	9.21326	9.29452	0.69063	0.95238	1.16136	0.67529	0.89064	1.03399	0.04869	0.24829	0.47817
3789	9.77469	9.86317	10.10677	-1.49515	1.37102	1.68386	-1.37982	1.35867	1.59241	-0.77044	0.57011	1.0398	9.33757	9.43132	9.58617	1.25101	1.42912	1.58947	1.11889	1.29477	1.45052	0.35527	0.58708	0.89698
23403	9.68084	9.84587	9.97043	0.73299	1.23018	1.53382	0.81244	1.22267	1.45066	0.25788	0.63906	0.99206	9.26507	9.41343	9.52505	0.88198	1.13414	1.43118	0.87868	1.05632	1.30991	0.24161	0.46799	0.87735
24222	9.95264	10.06097	10.18689	-1.34039	0.71498	1.68876	-1.19261	0.85439	1.61656	-0.58936	0.17281	0.94492	9.28587	9.50339	9.64244	1.25587	1.47499	1.67815	1.13689	1.35224	1.52596	0.32615	0.61998	0.93726
20304	9.16959	9.37318	9.4837	0.91156	1.23982	1.45411	0.85509	1.12167	1.29914	0.1668	0.59639	1.04733	8.8164	8.91899	9.02472	0.83966	0.95392	1.08041	0.70899	0.81251	0.94213	0.15037	0.26506	0.53431
3374	9.53792	9.70361	9.86867	-0.44437	0.53306	0.86019	-0.3481	0.60479	0.87455	-0.78481	0.00048	0.10227	9.19866	9.29779	9.38323	-0.189	0.78007	1.06737	-0.06783	0.76066	0.98601	-0.65487	0.07979	0.32083
