#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
19133	8.81555	8.85467	8.90253	0.73286	0.83788	0.90002	0.61472	0.68364	0.73578	0.57917	0.72948	0.85244	8.88862	8.927	8.96844	0.62953	0.82849	0.95653	0.56667	0.71769	0.80256	0.66579	0.95791	1.13171
20066	9.39235	9.43151	9.47463	1.36599	1.44389	1.49294	1.22111	1.27987	1.32416	1.06914	1.18376	1.26335	9.15901	9.21144	9.24256	1.08143	1.25275	1.32255	0.9682	1.09683	1.15232	0.73785	0.98641	1.08023
24943	10.63398	10.98946	11.37055	-1.05611	1.71687	2.51598	-0.89822	1.69485	2.47152	1.29372	2.56118	3.23624	10.25985	10.3329	10.42328	0.15765	0.56661	0.70385	0.34301	0.65591	0.75697	0.69557	0.93059	1.38391
18160	11.37179	12.09706	12.10242	-1.8333	-1.78677	0.53364	-1.62036	-1.57493	0.57576	1.34282	2.99077	3.00244	11.00632	11.02311	11.05735	1.1791	1.20569	1.27711	1.19589	1.22166	1.29652	0.8161	0.84559	1.34582
6665	9.23152	9.25198	9.31801	0.97419	1.29567	1.32271	0.91174	1.12228	1.14774	0.27638	0.8095	0.88352	9.31299	9.32508	9.33981	1.33398	1.40339	1.42493	1.19377	1.23457	1.25132	1.12933	1.21841	1.25413
23351	9.71309	9.8645	10.11897	-2.62037	-0.79949	-0.58733	-2.52515	-0.76374	-0.5577	0.00163	0.03027	0.1467	9.60618	9.69021	9.72758	-1.2556	-0.92414	-0.78074	-1.2231	-0.90516	-0.76565	-0.11562	0.00789	0.03892
1025	9.6339	9.68952	9.83733	0.8906	1.21507	1.33947	0.88288	1.16607	1.26638	1.14664	1.54814	1.71812	9.73068	9.76837	9.81349	0.34524	0.91243	1.09624	0.48206	0.9006	1.07124	1.07053	1.44571	1.66004
26600	9.28157	9.43145	9.61883	0.24636	1.3197	1.53373	0.26149	1.19065	1.38086	0.53814	1.88306	2.24435	8.97951	9.07732	9.16541	0.36887	0.86635	1.1819	0.34808	0.77157	1.03097	0.57942	1.24996	1.70924
16455	10.06562	10.12993	10.47876	2.05455	2.12335	2.54007	1.91018	1.94963	2.36254	0.86662	0.97892	1.90686	10.29467	10.29884	10.3094	2.2517	2.3998	2.40493	2.11787	2.22259	2.22813	1.5419	1.80111	1.81297
18908	9.59145	9.75181	9.84006	0.87876	0.95541	1.29385	0.86698	0.94114	1.21681	0.48379	0.60066	1.11093	9.63998	9.67136	9.7019	1.12273	1.23549	1.36469	1.0955	1.19433	1.30377	1.14831	1.29335	1.46632
20860	8.72755	8.84747	8.99874	0.40184	0.57125	0.7206	0.35566	0.48058	0.60396	0.35706	0.53943	0.80051	8.89992	8.9856	9.04753	0.19965	0.44619	0.72229	0.19008	0.41814	0.64906	0.39633	0.68728	1.0007
